"key","message","comment","context"
"%s : You must configure Sales module for company %s","%s : يجب عليك تكوين وحدة المبيعات للشركة %s",,,
"%s has been added to your cart.","%s تمت إضافته إلى سلة التسوق الخاصة بك.",,,
"Coefficient on invoice line must be enabled for progress billing.","يجب تمكين معامل السطر في الفاتورة لفواتير التقدم.",,,
"Comment","تعليق",,,
"Comment to display","تعليق للعرض",,,
"Comment to display on delivery","تعليق للعرض عند التسليم",,,
"Comment to display on invoice","تعليق للعرض في الفاتورة",,,
"Comment to display on picking order","تعليق للعرض في أمر الانتقاء",,,
"Comment to display on proforma","تعليق للعرض في الفاتورة الأولية",,,
"Company","الشركة",,,
"Company bank","بنك الشركة",,,
"Company currency","عملة الشركة",,,
"Complementary lines","الأسطر التكميلية",,,
"Complementary product","منتج تكميلي",,,
"Complementary product list","قائمة المنتجات التكميلية",,,
"Complementary product(s)","المنتجات التكميلية",,,
"Complementary products","المنتجات التكميلية",,,
"Complete manually sale order","إكمال أمر البيع يدويًا",,,
"Components","المكونات",,,
"Compute prices","حساب الأسعار",,,
"Conditions","الشروط",,,
"Configuration","التكوين",,,
"Configurator","المكوّن",,,
"Configurator BoM","قائمة مواد المُكوّن",,,
"Configurator creator filters","مرشحات منشئ المُكوّن",,,
"Configurator creator name","اسم منشئ المُكوّن",,,
"Configurator creators","منشئو المُكوّن",,,
"Configurator formula list","قائمة صيغ المُكوّن",,,
"Configurator model","نموذج المُكوّن",,,
"ConfiguratorCreator","منشئ المُكوّن",,,
"ConfiguratorCreators","منشئو المُكوّن",,,
"Configurators","المُكوّنات",,,
"Configure","تهيئة",,,
"Confirm cancellation","تأكيد الإلغاء",,,
"Confirm merge sale order","تأكيد دمج أمر البيع",,,
"Confirm order","تأكيد الطلب",,,
"Confirmation","التأكيد",,,
"Confirmation date","تاريخ التأكيد",,,
"Confirmed by","تم التأكيد بواسطة",,,
"Confirmer","المؤكد",,,
"Consider zero cost and zero price lines in the margin","اعتبار أسطر التكلفة الصفرية والسعر الصفري في الهامش",,,
"Contact partner","شريك الاتصال",,,
"Contacts","جهات الاتصال",,,
"Content","المحتوى",,,
"Contract end date","تاريخ انتهاء العقد",,,
"Contract period in months","فترة العقد بالأشهر",,,
"Contract start date","تاريخ بدء العقد",,,
"Copy needing update","نسخة تحتاج إلى تحديث",,,
"Country","الدولة",,,
"Create Order from this Template","إنشاء طلب من هذا القالب",,,
"Create order with missing products","إنشاء طلب بالمنتجات المفقودة",,,
"Create the quotation","إنشاء عرض السعر",,,
"Create the sale order","إنشاء أمر البيع",,,
"Created by","تم الإنشاء بواسطة",,,
"Created on","تم الإنشاء في",,,
"Creation date","تاريخ الإنشاء",,,
"Creation for every sale order lines","إنشاء لكل أسطر أمر البيع",,,
"Creation for the sale order","إنشاء لأمر البيع",,,
"Currency","العملة",,,
"Current Login user","المستخدم الحالي المسجل",,,
"Current User","المستخدم الحالي",,,
"Custom css class to apply.","فئة CSS مخصصة للتطبيق.",,,
"Custom field","حقل مخصص",,,
"Custom fields","الحقول المخصصة",,,
"Customer","العميل",,,
"Customer Catalog","كتالوج العميل",,,
"Customer Catalog Lines","أسطر كتالوج العميل",,,
"Customer Credit","رصيد العميل",,,
"Customer catalog lines","أسطر كتالوج العميل",,,
"Customer contact","اتصال العميل",,,
"Customer deliveries","تسليمات العميل",,,
"Customer deliveries details","تفاصيل تسليمات العميل",,,
"Customer information","معلومات العميل",,,
"Customer partner price list","قائمة أسعار شريك العميل",,,
"Customer partner price lists","قوائم أسعار شريك العميل",,,
"Customer reference","مرجع العميل",,,
"Customers","العملاء",,,
"Customers / prospects","العملاء / العملاء المحتملون",,,
"Customised","مخصص",,,
"Dashboard","لوحة المعلومات",,,
"Data file","ملف البيانات",,,
"Date","التاريخ",,,
"Dates","التواريخ",,,
"Day","اليوم",,,
"Deallocate","إلغاء التخصيص",,,
"Deallocate all","إلغاء تخصيص الكل",,,
"Decimal","عشري",,,
"Default holdback percentage","نسبة الحجز الافتراضية",,,
"Default unit","الوحدة الافتراضية",,,
"Define as template","تحديد كقالب",,,
"Delivered","تم التسليم",,,
"Delivered quantity","الكمية المسلمة",,,
"Delivery","التسليم",,,
"Delivery address","عنوان التسليم",,,
"Delivery conditions","شروط التسليم",,,
"Description","الوصف",,,
"Desired delivery date","تاريخ التسليم المطلوب",,,
"Details Lines","أسطر التفاصيل",,,
"Details Lines (Tree)","أسطر التفاصيل (شجرة)",,,
"Direct children","الأبناء المباشرون",,,
"Discount","الخصم",,,
"Discount amount","مبلغ الخصم",,,
"Discount derogation (%)","استثناء الخصم (%)",,,
"Discount rate","معدل الخصم",,,
"Discount type","نوع الخصم",,,
"Discounts need review","الخصومات تحتاج إلى مراجعة",,,
"Display customer code on printing","عرض رمز العميل عند الطباعة",,,
"Display delivery condition on printing","عرض شروط التسليم عند الطباعة",,,
"Display estimated shipping dates on printing","عرض التواريخ المقدرة للشحن عند الطباعة",,,
"Display product code on printing","عرض رمز المنتج عند الطباعة",,,
"Display product picture on printing","عرض صورة المنتج عند الطباعة",,,
"Display sale order line number","عرض رقم سطر أمر البيع",,,
"Display saleman on printing","عرض اسم البائع عند الطباعة",,,
"Display tax detail on printing","عرض تفاصيل الضريبة عند الطباعة",,,
"Displayed Product name","اسم المنتج المعروض",,,
"Do not display the header and end of pack","عدم عرض رأس وتذييل الحزمة",,,
"Draft","مسودة",,,
"Draft quotation","عرض سعر مسودة",,,
"Durations","المدد",,,
"Edit order","تحرير الطلب",,,
"Editable","قابل للتعديل",,,
"Editable tree","شجرة قابلة للتعديل",,,
"Editor","المحرر",,,
"Either the sale order or the product is null.","إما أن يكون أمر البيع أو المنتج فارغًا.",,,
"Empty cart","تفريغ السلة",,,
"Enable business configurator","تمكين مكون الأعمال",,,
"Enable calculation of the entire quotation's prices","تمكين حساب أسعار عرض السعر بالكامل",,,
"Enable cart management","تمكين إدارة السلة",,,
"Enable customer catalog management","تمكين إدارة كتالوج العميل",,,
"Enable discount on editable lines","تمكين الخصم على الأسطر القابلة للتعديل",,,
"Enable product description copy","تمكين نسخ وصف المنتج",,,
"End date","تاريخ الانتهاء",,,
"End of current contract period","نهاية فترة العقد الحالية",,,
"End of validity","نهاية الصلاحية",,,
"Estimated delivery date","التاريخ المتوقع للتسليم",,,
"Estimated shipping date","التاريخ المتوقع للشحن",,,
"Example: accessing the name of the user","مثال: الوصول إلى اسم المستخدم",,,
"Examples","أمثلة",,,
"Excel","إكسل",,,
"Export","تصدير",,,
"Fetch limit","حد الجلب",,,
"Fetch limit for this batch. 0 will not be taken into account. In this case, the value configured in app Base will be used.","حد الجلب لهذه الدفعة. 0 لن يؤخذ في الاعتبار. في هذه الحالة، سيتم استخدام القيمة المكوّنة في التطبيق الأساسي.",,,
"Fill project","ملء المشروع",,,
"Filter products by trading name","تصفية المنتجات حسب الاسم التجاري",,,
"Finalize","إنهاء",,,
"Finalized quotation","عرض السعر النهائي",,,
"Financial terms","الشروط المالية",,,
"Fiscal position","الموقف المالي",,,
"Formula","الصيغة",,,
"Fortnightly","نصف شهري",,,
"Freeze fields","تجميد الحقول",,,
"From Date","من تاريخ",,,
"Full name","الاسم الكامل",,,
"Generate","إنشاء",,,
"Generate Product","إنشاء المنتج",,,
"Generate Project/Business","إنشاء المشروع/الأعمال",,,
"Generate advance payment invoice","إنشاء فاتورة الدفع المسبق",,,
"Generate configurator","إنشاء المُكوّن",,,
"Generate customer deliveries","إنشاء تسليمات العملاء",,,
"Generate invoice","إنشاء الفاتورة",,,
"Generate product","إنشاء المنتج",,,
"Generate production order","إنشاء أمر الإنتاج",,,
"Generate purchase order","إنشاء أمر الشراء",,,
"Generate sale configurations","إنشاء تكوينات المبيعات",,,
"Generate the pdf printing during sale order finalization","إنشاء طباعة PDF أثناء إنهاء أمر البيع",,,
"Generated purchase orders","أوامر الشراء المُنشأة",,,
"Generation type","نوع التوليد",,,
"Go to last version","الانتقال إلى الإصدار الأخير",,,
"Gross Profit","الربح الإجمالي",,,
"Group products on printings","تجميع المنتجات في الطباعة",,,
"Half-yearly","نصف سنوي",,,
"Has tree","يحتوي على شجرة",,,
"Help","مساعدة",,,
"Hide Discount on prints","إخفاء الخصم في الطباعة",,,
"Hide Unit Amounts","إخفاء مبالغ الوحدة",,,
"Hide unit amounts","إخفاء مبالغ الوحدة",,,
"Historical","التاريخي",,,
"Ignore missing products","تجاهل المنتجات المفقودة",,,
"Import configurator creators","استيراد منشئي المُكوّن",,,
"Import log","سجل الاستيراد",,,
"In ATI","في ATI",,,
"Incoterm must be filled","يجب ملء شرط التسليم (Incoterm)",,,
"Indicators","المؤشرات",,,
"Industry Sector","قطاع الصناعة",,,
"Info product","معلومات المنتج",,,
"Info.","معلومة.",,,
"Information","المعلومات",,,
"Internal Note","ملاحظة داخلية",,,
"Internal Number","الرقم الداخلي",,,
"Internal note","ملاحظة داخلية",,,
"Invoice Lines","أسطر الفاتورة",,,
"Invoice an advance payment","إصدار فاتورة دفع مسبق",,,
"Invoice by delivery impose that all sale order lines must have service or stockable product with provision from stock","إصدار الفاتورة حسب التسليم يتطلب أن تحتوي جميع أسطر أمر البيع على خدمة أو منتج قابل للتخزين مع توفير من المخزون",,,
"Invoiced","تم الفوترة",,,
"Invoicing","الفوترة",,,
"Invoicing mode","وضع الفوترة",,,
"Is Active","نشط",,,
"Is amount in % ?","هل المبلغ بالنسبة المئوية؟",,,
"Is complementary partner products handled","هل يتم التعامل مع منتجات الشريك التكميلية",,,
"Is complementary products unhandled yet","هل لم يتم التعامل مع المنتجات التكميلية بعد",,,
"It is not possible to delete a confirmed order.","لا يمكن حذف أمر مؤكد.",,,
"Label","التسمية",,,
"Label to be displayed on sale orders","التسمية التي سيتم عرضها على أوامر البيع",,,
"Last Year To Date","العام الماضي حتى الآن",,,
"Last reminder","آخر تذكير",,,
"Legal note on sale order","ملاحظة قانونية على أمر البيع",,,
"Line list display type","نوع عرض قائمة الأسطر",,,
"Line production commentary","تعليق إنتاج السطر",,,
"Lines to recover","الأسطر التي يجب استردادها",,,
"List of sale orders to merge is empty","قائمة أوامر البيع المراد دمجها فارغة",,,
"Main sale order line","السطر الرئيسي لأمر البيع",,,
"Main/Invoicing address","العنوان الرئيسي/عنوان الفوترة",,,
"Manage multiple sale quantity","إدارة كميات بيع متعددة",,,
"Manage partner complementary product","إدارة المنتجات التكميلية للشريك",,,
"Manage sale order versions","إدارة إصدارات أمر البيع",,,
"Manage sales unit on products","إدارة وحدة المبيعات على المنتجات",,,
"Manual","يدوي",,,
"Manual Unblock","إلغاء الحظر يدويًا",,,
"Manufacturing Orders","أوامر التصنيع",,,
"Maps","الخرائط",,,
"Margin","الهامش",,,
"Margin (%)","الهامش (%)",,,
"Margin rate","معدل الهامش",,,
"Markup (%)","نسبة الربح (%)",,,
"Max","الحد الأقصى",,,
"Max discount","الحد الأقصى للخصم",,,
"Merge into single quotation","دمج في عرض سعر واحد",,,
"Merge into single sale order","دمج في أمر بيع واحد",,,
"Merge quotations","دمج عروض الأسعار",,,
"Merge sale orders","دمج أوامر البيع",,,
"Merge sale quotation","دمج عرض البيع",,,
"Meta field","حقل البيانات الوصفية",,,
"Meta json","بيانات وصفية JSON",,,
"Min","الحد الأدنى",,,
"Missing mapped by: unidirectional one-to-many are not supported by the configurator.","المطابقة المفقودة: العلاقات أحادية الاتجاه من واحد إلى متعدد غير مدعومة بواسطة المُكوّن.",,,
"Month","شهر",,,
"Monthly","شهري",,,
"My Opportunities","فرصي",,,
"My Proposals","اقتراحاتي",,,
"My Sales","مبيعاتي",,,
"My Sales Orders","أوامر البيع الخاصة بي",,,
"My Team Proposals","اقتراحات فريقي",,,
"My Team Sales","مبيعات فريقي",,,
"My Templates","قوالبي",,,
"My Today Activities","أنشطتي اليوم",,,
"My Turnover per month","مبيعاتي الشهرية",,,
"My templates","قوالبي",,,
"Name","الاسم",,,
"Name to use in scripts","الاسم للاستخدام في البرامج النصية",,,
"Nbr of Units sold (Orders) by category","عدد الوحدات المباعة (الطلبات) حسب الفئة",,,
"New","جديد",,,
"New version","إصدار جديد",,,
"Next invoicing date","تاريخ الفوترة التالي",,,
"Next invoicing end period date","تاريخ نهاية فترة الفوترة التالية",,,
"Next invoicing start period date","تاريخ بداية فترة الفوترة التالية",,,
"Next pricing","التسعير التالي",,,
"No Of Units","عدد الوحدات",,,
"No order line needs to be generated for this cart.","لا حاجة لإنشاء سطر أمر لهذا السلة.",,,
"No pricing scale used for this record","لم يتم استخدام مقياس تسعير لهذا السجل",,,
"No product family is set for this product: %s","لم يتم تعيين عائلة منتج لهذا المنتج: %s",,,
"No unit is set for this product: %s","لم يتم تعيين وحدة لهذا المنتج: %s",,,
"Not delivered","لم يتم التسليم",,,
"Not invoiced","لم يتم الفوترة",,,
"Notice period in days","فترة الإشعار بالأيام",,,
"OR","أو",,,
"Old qty","الكمية القديمة",,,
"Old version sale order","إصدار قديم من أمر البيع",,,
"On change","عند التغيير",,,
"One product is sold at loss, are you sure you want to finalize the quotation ?","يتم بيع منتج بخسارة، هل أنت متأكد أنك تريد إنهاء عرض السعر؟",,,
"One-off sale","بيع لمرة واحدة",,,
"Only if","فقط إذا",,,
"Opportunity","فرصة",,,
"Optional","اختياري",,,
"Options","الخيارات",,,
"Order Date","تاريخ الطلب",,,
"Order Number","رقم الطلب",,,
"Order being edited","يتم تعديل الطلب",,,
"Order bloqued message","رسالة الطلب المحظور",,,
"Order completed","تم اكتمال الطلب",,,
"Order confirmed","تم تأكيد الطلب",,,
"Order creation for cart when stock is missing","إنشاء الطلب للسلة عند فقدان المخزون",,,
"Original product","المنتج الأصلي",,,
"Original sale order","أمر البيع الأصلي",,,
"Other information","معلومات أخرى",,,
"Overview","نظرة عامة",,,
"PDF","PDF",,,
"Pack","الحزمة",,,
"Pack Management","إدارة الحزمة",,,
"PackLine","سطر الحزمة",,,
"Parent","الأصل",,,
"Parent sale order line","السطر الأصلي لأمر البيع",,,
"Partially delivered","تم التسليم جزئيًا",,,
"Partially invoiced","تمت الفوترة جزئيًا",,,
"Partner","الشريك",,,
"Partner Type","نوع الشريك",,,
"Past versions","الإصدارات السابقة",,,
"Period duration","مدة الفترة",,,
"Periodicity type","نوع الدورية",,,
"Please enter at least one detail line.","يرجى إدخال سطر تفاصيل واحد على الأقل.",,,
"Please fill printing settings on sale order %s.","يرجى ملء إعدادات الطباعة على أمر البيع %s.",,,
"Please select a customer","يرجى تحديد عميل",,,
"Please select a customer to be able to convert opportunity into quotation.","يرجى تحديد عميل ليتمكن من تحويل الفرصة إلى عرض سعر.",,,
"Please select product variant for following product(s) :","يرجى تحديد إصدار المنتج للمنتج(ات) التالية:",,,
"Please select the sale order(s) to print.","يرجى تحديد أوامر البيع للطباعة.",,,
"Previous pricing","التسعير السابق",,,
"Price","السعر",,,
"Price List","قائمة الأسعار",,,
"Price calculation details","تفاصيل حساب السعر",,,
"Price list","قائمة الأسعار",,,
"Price lists","قوائم الأسعار",,,
"Pricing","التسعير",,,
"Pricing rules","قواعد التسعير",,,
"Print","طباعة",,,
"Print subtotal / line","طباعة المجموع الفرعي / السطر",,,
"Print subtotal per line","طباعة المجموع الفرعي لكل سطر",,,
"Printing","الطباعة",,,
"Printing config per Sale Order","إعدادات الطباعة لكل أمر بيع",,,
"Printing settings","إعدادات الطباعة",,,
"Printings","المطبوعات",,,
"Product","المنتج",,,
"Product Accounting Family","عائلة محاسبة المنتج",,,
"Product Accounting Family Sales Turnover this year vs last year","دوران مبيعات عائلة محاسبة المنتج هذا العام مقابل العام الماضي",,,
"Product Category","فئة المنتج",,,
"Product Name","اسم المنتج",,,
"Product code on catalog","رمز المنتج في الكتالوج",,,
"Product composition","تكوين المنتج",,,
"Product creator","منشئ المنتج",,,
"Product generated","تم إنشاء المنتج",,,
"Product meta field","حقل البيانات الوصفية للمنتج",,,
"Product name on catalog","اسم المنتج في الكتالوج",,,
"Product sale turnover (Excl. Tax) last 12 month","دوران مبيعات المنتج (باستثناء الضريبة) خلال آخر 12 شهرًا",,,
"Product sale turnover (Excl. Tax) per month","دوران مبيعات المنتج (باستثناء الضريبة) شهريًا",,,
"Product should not be null","يجب ألا يكون المنتج فارغًا",,,
"Product variant","إصدار المنتج",,,
"Production","الإنتاج",,,
"Production note","ملاحظة الإنتاج",,,
"Production process","عملية الإنتاج",,,
"Products","المنتجات",,,
"Products & services","المنتجات والخدمات",,,
"Proforma invoice","فاتورة أولية",,,
"Project and task generation","إنشاء المشروع والمهام",,,
"Project generation method","طريقة إنشاء المشروع",,,
"Project/Task","المشروع/المهمة",,,
"Prospects","العملاء المحتملون",,,
"Prototype","النموذج الأولي",,,
"Qty","الكمية",,,
"Quantity","الكمية",,,
"Quantity in generated sale order line, 1 if left empty.","الكمية في سطر أمر البيع المُنشأ، 1 إذا تُرك فارغًا.",,,
"Quarterly","ربع سنوي",,,
"Query to database","استعلام إلى قاعدة البيانات",,,
"Quotation","عرض السعر",,,
"Quotation lines","أسطر عرض السعر",,,
"Quotation/sale order created","تم إنشاء عرض السعر/أمر البيع",,,
"Quotations template","قالب عروض الأسعار",,,
"Quotations to merge","عروض الأسعار للدمج",,,
"Quote/Order","عرض السعر/الطلب",,,
"Recompute prices","إعادة حساب الأسعار",,,
"Recover from this version","استرداد من هذا الإصدار",,,
"Reference","المرجع",,,
"Reference already existing","المرجع موجود بالفعل",,,
"References","المراجع",,,
"Register a deposit","تسجيل إيداع",,,
"Related tasks","المهام المرتبطة",,,
"Remove","إزالة",,,
"Report type","نوع التقرير",,,
"Reportings","التقارير",,,
"Reports","التقارير",,,
"Request reservation","طلب الحجز",,,
"Reservation requested","تم طلب الحجز",,,
"Reserve all","حجز الكل",,,
"SO Tax line","سطر الضريبة لأمر البيع",,,
"SO Tax lines","أسطر الضريبة لأمر البيع",,,
"SO line","سطر أمر البيع",,,
"SO lines","أسطر أمر البيع",,,
"Sale","البيع",,,
"Sale Batch","دفعة المبيعات",,,
"Sale Order","أمر البيع",,,
"Sale batch","دفعة المبيعات",,,
"Sale batch filters","مرشحات دفعة المبيعات",,,
"Sale batches","دفعات المبيعات",,,
"Sale blocking","حظر البيع",,,
"Sale config","تكوين البيع",,,
"Sale config (${ name })","تكوين البيع (${ name })",,,
"Sale configuration","إعدادات البيع",,,
"Sale configurations","تكوينات البيع",,,
"Sale details by product","تفاصيل البيع حسب المنتج",,,
"Sale order","أمر البيع",,,
"Sale order id","معرف أمر البيع",,,
"Sale order line","سطر أمر البيع",,,
"Sale order line field","حقل سطر أمر البيع",,,
"Sale order line list","قائمة أسطر أمر البيع",,,
"Sale order line sub element","العنصر الفرعي لسطر أمر البيع",,,
"Sale order line tree","شجرة أسطر أمر البيع",,,
"Sale order line trees","أشجار أسطر أمر البيع",,,
"Sale order line.sale order","سطر أمر البيع.أمر البيع",,,
"Sale order line.sale order.currency","سطر أمر البيع.عملة أمر البيع",,,
"Sale order line.sale order.currency.number of decimals","سطر أمر البيع.عملة أمر البيع.عدد المنازل العشرية",,,
"Sale order lines","أسطر أمر البيع",,,
"Sale order lines filter","فلتر أسطر أوامر البيع",,,
"Sale order quotation","عرض سعر أمر البيع",,,
"Sale order template","قالب أمر البيع",,,
"Sale orders","أوامر البيع",,,
"Sale orders ATI/WT","أوامر البيع ATI/WT",,,
"Sale orders to merge","أوامر البيع للدمج",,,
"Sale quotation","عرض سعر البيع",,,
"Sale quotations","عروض أسعار البيع",,,
"Sale quotations/orders","عروض الأسعار/أوامر البيع",,,
"Sale.Pricing","تسعير البيع",,,
"SaleOrder.afterDiscount","أمر البيع بعد الخصم",,,
"SaleOrder.bank","بنك أمر البيع",,,
"SaleOrder.base","قاعدة أمر البيع",,,
"SaleOrder.cheque","شيك أمر البيع",,,
"SaleOrder.customer","عميل أمر البيع",,,
"SaleOrder.customerCode","رمز عميل أمر البيع",,,
"SaleOrder.customerRef","مرجع عميل أمر البيع",,,
"SaleOrder.date","تاريخ أمر البيع",,,
"SaleOrder.deliveryAddress","عنوان تسليم أمر البيع",,,
"SaleOrder.deliveryCondition","شروط تسليم أمر البيع",,,
"SaleOrder.description","وصف أمر البيع",,,
"SaleOrder.discountAmount","مبلغ الخصم لأمر البيع",,,
"SaleOrder.duration","مدة أمر البيع",,,
"SaleOrder.endOfValidityDate","تاريخ انتهاء صلاحية أمر البيع",,,
"SaleOrder.estimatedDeliveryDate","تاريخ التسليم المتوقع لأمر البيع",,,
"SaleOrder.invoicingAddrs","عنوان الفوترة لأمر البيع",,,
"SaleOrder.isIspmRequired","هل يتطلب أمر البيع ISPM",,,
"SaleOrder.no","رقم أمر البيع",,,
"SaleOrder.note","ملاحظة أمر البيع",,,
"SaleOrder.order","طلب أمر البيع",,,
"SaleOrder.others","أخرى لأمر البيع",,,
"SaleOrder.paymentCondition","شروط الدفع لأمر البيع",,,
"SaleOrder.paymentMode","طريقة الدفع لأمر البيع",,,
"SaleOrder.periodicity","دورية أمر البيع",,,
"SaleOrder.priceExclTax","سعر أمر البيع بدون الضريبة",,,
"SaleOrder.priceInclTax","سعر أمر البيع شامل الضريبة",,,
"SaleOrder.productCode","رمز منتج أمر البيع",,,
"SaleOrder.productDescription","وصف منتج أمر البيع",,,
"SaleOrder.productName","اسم منتج أمر البيع",,,
"SaleOrder.productSequence","تسلسل منتج أمر البيع",,,
"SaleOrder.proforma","فاتورة أولية لأمر البيع",,,
"SaleOrder.qtyUnit","وحدة كمية أمر البيع",,,
"SaleOrder.quote","عرض سعر أمر البيع",,,
"SaleOrder.salemanEmail","بريد إلكتروني للبائع في أمر البيع",,,
"SaleOrder.salemanName","اسم البائع في أمر البيع",,,
"SaleOrder.salemanPhone","هاتف البائع في أمر البيع",,,
"SaleOrder.shipmentDate","تاريخ الشحن لأمر البيع",,,
"SaleOrder.subscriptionContract","عقد الاشتراك لأمر البيع",,,
"SaleOrder.supplier","مورد أمر البيع",,,
"SaleOrder.supplyRef","مرجع الإمداد لأمر البيع",,,
"SaleOrder.tax","ضريبة أمر البيع",,,
"SaleOrder.taxAmount","مبلغ الضريبة لأمر البيع",,,
"SaleOrder.taxCode","رمز الضريبة لأمر البيع",,,
"SaleOrder.taxes","الضرائب لأمر البيع",,,
