"key","message","comment","context"
"Av. for product","متاح للمنتج",,,
"Availability","التوفر",,,
"Availability request","طلب التوفر",,,
"Available","متاح",,,
"Available qty","الكمية المتاحة",,,
"Available qty for product","الكمية المتاحة للمنتج",,,
"Available status","الحالة المتاحة",,,
"Average","المتوسط",,,
"Average Price","متوسط السعر",,,
"Avg outgoing quantity on 12 past months (One-off sale excluded)","متوسط الكمية الصادرة خلال الـ 12 شهرًا الماضية (باستثناء المبيعات الفردية)",,,
"Back to provision","العودة إلى التوريد",,,
"Backorder","طلب متأخر",,,
"Backorder Id","معرف الطلب المتأخر",,,
"Backorder Stock Move","تحرك مخزون الطلب المتأخر",,,
"Bad stock move type","نوع تحرك المخزون غير صحيح",,,
"Barcode","الباركود",,,
"Barcode Type","نوع الباركود",,,
"Barter","المقايضة",,,
"Batchs","الدفعات",,,
"Both source location address and delivery (to) address are required to define the delivery itinerary","يلزم تحديد عنوان موقع المصدر وعنوان التسليم لتعريف مسار التسليم",,,
"Buyer","المشتري",,,
"Buyer/Seller","المشتري/البائع",,,
"CSV","CSV",,,
"Calculate","حساب",,,
"Can only be collected if validated","يمكن تجميعه فقط إذا تم التحقق منه",,,
"Can only be validated if provisioned","يمكن التحقق منه فقط إذا تم توفيره",,,
"Can only cancel a planned or realized stock move.","يمكن إلغاء تحرك مخزون مخطط أو منفذ فقط.",,,
"Can only cancel a validated inventory.","يمكن إلغاء جرد تم التحقق منه فقط.",,,
"Can only complete a started inventory.","يمكن إكمال الجرد الذي تم البدء فيه فقط.",,,
"Can only plan a draft inventory.","يمكن تخطيط الجرد المسود فقط.",,,
"Can only plan a drafted stock move.","يمكن تخطيط تحرك المخزون الذي لا يزال في المسودة فقط.",,,
"Can only return to draft if cancelled.","يمكن العودة إلى المسودة فقط إذا تم الإلغاء.",,,
"Can only return to provision if was validated or collected","يمكن العودة إلى التوريد فقط إذا تم التحقق منه أو تجميعه",,,
"Can only start a draft inventory.","يمكن بدء جرد المسودة فقط.",,,
"Can only validate a drafted stock correction.","يمكن التحقق من تصحيح المخزون المسود فقط.",,,
"Can't delete a line linked to a realized stock move line.","لا يمكن حذف سطر مرتبط بسطر تحرك مخزون منفذ.",,,
"Can't delete a planned stock move","لا يمكن حذف تحرك مخزون مخطط",,,
"Can't delete a realized stock move","لا يمكن حذف تحرك مخزون منفذ",,,
"Can't realize this stock move because of the ongoing inventory %s.","لا يمكن تنفيذ تحرك المخزون هذا بسبب الجرد الجاري %s.",,,
"Cancel","إلغاء",,,
"Cancel picking","إلغاء الاستلام",,,
"Cancel reason","سبب الإلغاء",,,
"Cancel reservation","إلغاء الحجز",,,
"Cancel storage","إلغاء التخزين",,,
"Cancelation","الإلغاء",,,
"Canceled","ملغي",,,
"Cancellation","الإلغاء",,,
"Cancellation confirmation","تأكيد الإلغاء",,,
"Cancelled Arrivals","الواردات الملغاة",,,
"Cannot go back to draft status.","لا يمكن العودة إلى حالة المسودة.",,,
"Cannot realize a stock move that is not planned.","لا يمكن تنفيذ تحرك المخزون غير المخطط.",,,
"Cannot validate an inventory that is not completed.","لا يمكن التحقق من جرد غير مكتمل.",,,
"Carriage (Sea/Air) to port of import","الشحن (بحري/جوي) إلى ميناء الاستيراد",,,
"Carriage to place of destination","الشحن إلى وجهة الوصول",,,
"Carriage to port of export","الشحن إلى ميناء التصدير",,,
"Carrier","شركة النقل",,,
"Carrier validated","تم التحقق من الناقل",,,
"Cart contents","محتويات السلة",,,
"Cart stock location content","محتوى موقع مخزون السلة",,,
"Certificate of conformity","شهادة المطابقة",,,
"Certificate of conformity title","عنوان شهادة المطابقة",,,
"Change allocated qty","تغيير الكمية المخصصة",,,
"Check Duplicate","التحقق من التكرار",,,
"Check expiration date at stock move realization","التحقق من تاريخ انتهاء الصلاحية عند تنفيذ تحرك المخزون",,,
"Choose a template","اختر قالبًا",,,
"Code","الرمز",,,
"Collected","تم التجميع",,,
"Collection date","تاريخ التجميع",,,
"Comment to display on picking order","تعليق ليتم عرضه على أمر الاستلام",,,
"Comment to display on stock move","تعليق ليتم عرضه على تحرك المخزون",,,
"Comments","التعليقات",,,
"Comments updated","تم تحديث التعليقات",,,
"Commercial regularization resulting in value increase","تسوية تجارية تؤدي إلى زيادة في القيمة",,,
"Commercial regularization resulting in value reduction","تسوية تجارية تؤدي إلى انخفاض في القيمة",,,
"Common destination location","موقع الوجهة المشترك",,,
"Common source location","موقع المصدر المشترك",,,
"Company","الشركة",,,
"Company Unit price W.T.","سعر الوحدة للشركة بدون ضرائب",,,
"Company account","حساب الشركة",,,
"Company address is empty.","عنوان الشركة فارغ.",,,
"Company cannot be null.","يجب ألا تكون الشركة فارغة.",,,
"Company missing for stock location %s","الشركة مفقودة لموقع المخزون %s",,,
"Complete","إكمال",,,
"Completed","مكتمل",,,
"Compliant","متوافق",,,
"Compliant arrival product qty","كمية المنتج الوارد المتوافقة",,,
"Computation priority","أولوية الحساب",,,
"Configuration","الإعدادات",,,
"Configuration is missing in stock configuration to see financial data","الإعدادات مفقودة في تكوين المخزون لرؤية البيانات المالية",,,
"Confirm","تأكيد",,,
"Confirm cancellation","تأكيد الإلغاء",,,
"Conformity","المطابقة",,,
"Conformity Certificates","شهادات المطابقة",,,
"Conformity certificate","شهادة المطابقة",,,
"Conformity certificate template","قالب شهادة المطابقة",,,
"ConformityCertificate.certificateNumber","رقم شهادة المطابقة",,,
"ConformityCertificate.customerName","اسم العميل",,,
"ConformityCertificate.designation","التسمية",,,
"ConformityCertificate.externalReference","المرجع الخارجي",,,
"ConformityCertificate.function","الوظيفة",,,
"ConformityCertificate.lotNoRef","رقم اللوت المرجعي",,,
"ConformityCertificate.name","الاسم",,,
"ConformityCertificate.numberAndDateDelivery","رقم وتاريخ التسليم",,,
"ConformityCertificate.orderDate","تاريخ الطلب",,,
"ConformityCertificate.orderNumber","رقم الطلب",,,
"ConformityCertificate.partNumber","رقم الجزء",,,
"ConformityCertificate.qtyUnit","وحدة الكمية",,,
"ConformityCertificate.quantity","الكمية",,,
"ConformityCertificate.sequence","التسلسل",,,
"ConformityCertificate.signature","التوقيع",,,
"ConformityCertificate.stockMoveLineRowNum","رقم صف تحرك المخزون",,,
"Consignments by post","الطرود عبر البريد",,,
"Control on Receipt","التحكم عند الاستلام",,,
"Control stock rules are activated by supply chain batch.","يتم تنشيط قواعد التحكم في المخزون بواسطة دفعة سلسلة التوريد.",,,
"Correction Reason","سبب التصحيح",,,
"Cost price","سعر التكلفة",,,
"Country","الدولة",,,
"Country of origin","بلد المنشأ",,,
"Create inventory","إنشاء الجرد",,,
"Create new tracking numbers","إنشاء أرقام تتبع جديدة",,,
"Created by","تم الإنشاء بواسطة",,,
"Created on","تم الإنشاء في",,,
"Current","الحالي",,,
"Current Qty","الكمية الحالية",,,
"Current Quantity","الكمية الحالية",,,
"Current qty","الكمية الحالية",,,
"Current quantity problem","مشكلة في الكمية الحالية",,,
"Cust. Shipment to prepare","شحن العميل للتحضير",,,
"Customer account","حساب العميل",,,
"Customer account number","رقم حساب العميل",,,
"Customer account number to carrier","رقم حساب العميل لشركة النقل",,,
"Customer account numbers to carriers","أرقام حساب العميل لشركات النقل",,,
"Customer average delivery delay","متوسط تأخير تسليم العميل",,,
"Customer deliveries","تسليمات العملاء",,,
"Customer deliveries by country","تسليمات العملاء حسب الدولة",,,
"Customer deliveries filters","مرشحات تسليمات العملاء",,,
"Customer deliveries statistics","إحصائيات تسليمات العملاء",,,
"Customer order ref.","مرجع طلب العميل",,,
"Customer returns","مرتجعات العملاء",,,
"Customer virtual stock location","موقع المخزون الافتراضي للعميل",,,
"Customs","الجمارك",,,
"Customs code","رمز الجمارك",,,
"Customs code nomenclature","تسمية رمز الجمارك",,,
"Customs code nomenclature:all","تسمية رمز الجمارك: الكل",,,
"Cut off move generated","تم إنشاء تحرك القطع",,,
"Dashboard","لوحة التحكم",,,
"Dashlet.Moves","تحركات Dashlet",,,
"Data is null or empty","البيانات فارغة أو غير موجودة",,,
"Date","التاريخ",,,
"Date and time","التاريخ والوقت",,,
"Date t","تاريخ t",,,
"Dates","التواريخ",,,
"Days","أيام",,,
"Deallocate","إلغاء التخصيص",,,
"Deallocate all","إلغاء تخصيص الكل",,,
"Declaration of exchanges for %s is not supported.","إعلان التبادلات لـ %s غير مدعوم.",,,
"Default external stock location","موقع المخزون الخارجي الافتراضي",,,
"Default from stock location for sales and to stock location for purchases","الموقع الافتراضي من المخزون للمبيعات وإلى المخزون للمشتريات",,,
"Default signatory user","المستخدم الموقع الافتراضي",,,
"Default stock location","موقع المخزون الافتراضي",,,
"Default to stock location for sales and from stock location for purchases","الموقع الافتراضي إلى المخزون للمبيعات ومن المخزون للمشتريات",,,
"Default unit","الوحدة الافتراضية",,,
"Defense or intergovernmental program","برنامج دفاعي أو حكومي دولي",,,
"Define ideal Qty","تحديد الكمية المثالية",,,
"Define max Qty","تحديد الحد الأقصى للكمية",,,
"Delay","التأخير",,,
"Delayed invoicing","فوترة متأخرة",,,
"Deliver to customer","التسليم إلى العميل",,,
"Deliver to customer is not set.","لم يتم تعيين التسليم إلى العميل.",,,
"Deliveries","التسليمات",,,
"Deliveries Cancelled","تم إلغاء التسليمات",,,
"Deliveries Details","تفاصيل التسليمات",,,
"Deliveries History","تاريخ التسليمات",,,
"Deliveries to prepare","التسليمات للتحضير",,,
"Delivery delay (days)","تأخير التسليم (أيام)",,,
"Delivery for trial sale","التسليم لبيع تجريبي",,,
"Delivery number","رقم التسليم",,,
"Delivery stock move","تحرك مخزون التسليم",,,
"Deported stock location","موقع المخزون المرحّل",,,
"Description","الوصف",,,
"Destination location","موقع الوجهة",,,
"Detail","تفاصيل",,,
"Detail line(s) not inside a parcel/pallet","خط التفاصيل غير موجود داخل طرد/لوحة",,,
"Detailed stock","المخزون التفصيلي",,,
"Details","التفاصيل",,,
"Details of the tracking number's availables","تفاصيل أرقام التتبع المتاحة",,,
"Details of the tracking number's unavailables","تفاصيل أرقام التتبع غير المتاحة",,,
"Details stock location lines","تفاصيل خطوط موقع المخزون",,,
"Dimension 0","البعد 0",,,
"Dimension 1","البعد 1",,,
"Dimension 2","البعد 2",,,
"Dimension 3","البعد 3",,,
"Dimensional","الأبعاد",,,
"Dimensions","الأبعاد",,,
"Dimensions (cm)","الأبعاد (سم)",,,
"Dimensions and masses","الأبعاد والكتل",,,
"Dimensions title","عنوان الأبعاد",,,
"Display accounting value in location financial data printing","عرض القيمة المحاسبية في طباعة بيانات الموقع المالية",,,
"Display available tracking numbers","عرض أرقام التتبع المتاحة",,,
"Display average price in printing","عرض السعر المتوسط في الطباعة",,,
"Display barcode on Picking printing","عرض الباركود في طباعة الانتقاء",,,
"Display customer code on picking printing","عرض رمز العميل في طباعة الانتقاء",,,
"Display external ref. on certificate of conformity printing","عرض المرجع الخارجي في طباعة شهادة المطابقة",,,
"Display line details on printing","عرض تفاصيل الخط في الطباعة",,,
"Display order reference and order date","عرض مرجع الطلب وتاريخ الطلب",,,
"Display partner sequence on printing","عرض تسلسل الشريك في الطباعة",,,
"Display price on printing","عرض السعر في الطباعة",,,
"Display product code on printing","عرض رمز المنتج في الطباعة",,,
"Display purchase value in location financial data printing","عرض قيمة الشراء في طباعة بيانات الموقع المالية",,,
"Display sale value in location financial data printing","عرض قيمة المبيعات في طباعة بيانات الموقع المالية",,,
"Display tracking number details on Picking printing","عرض تفاصيل رقم التتبع في طباعة الانتقاء",,,
"Display tracking number details on certificate of conformity printing","عرض تفاصيل رقم التتبع في طباعة شهادة المطابقة",,,
"Do you want to allocate all the products ?","هل تريد تخصيص جميع المنتجات؟",,,
"Do you want to generate backorder for not delivered quantities?","هل تريد إنشاء طلب مؤجل للكميات غير المسلمة؟",,,
"Do you want to generate backorder for not received quantities?","هل تريد إنشاء طلب مؤجل للكميات غير المستلمة؟",,,
"Do you want to proceed?","هل تريد المتابعة؟",,,
"Does not include quantities from sub stock locations","لا يشمل الكميات من مواقع المخزون الفرعية",,,
"Draft","مسودة",,,
"Draft move","تحرك مسودة",,,
"Economic area","المنطقة الاقتصادية",,,
"Electronic signature","التوقيع الإلكتروني",,,
"Email sent","تم إرسال البريد الإلكتروني",,,
"Enable incoterm","تمكين شروط التجارة الدولية (Incoterm)",,,
"Enable product description copy","تمكين نسخ وصف المنتج",,,
"Enable site management for stock","تمكين إدارة الموقع للمخزون",,,
"End date","تاريخ الانتهاء",,,
"Error: %s and %s fields are required and can not be null","خطأ: الحقلين %s و%s مطلوبان ولا يمكن أن يكونا فارغين",,,
"Error: %s field is required and can not be null","خطأ: الحقل %s مطلوب ولا يمكن أن يكون فارغًا",,,
"Estimated Date","التاريخ المتوقع",,,
"Estimated date","التاريخ المتوقع",,,
"Excl. out of stock products","استبعاد المنتجات غير المتوفرة",,,
"Exonerated shipment and transfer","الشحن والنقل المعفى من الرسوم",,,
"Expected BigDecimal as result during the computation of field %s, please fix the corresponding formula.","متوقع BigDecimal كنتيجة أثناء حساب الحقل %s، يرجى تصحيح الصيغة المقابلة.",,,
"Expected Qty","الكمية المتوقعة",,,
"Expected/Future Quantity","الكمية المتوقعة/المستقبلية",,,
"Expired product(s): %s","منتج(ات) منتهية الصلاحية: %s",,,
"Export","تصدير",,,
"Export customs declaration","تصدير التصريح الجمركي",,,
"External","خارجي",,,
"External delivery comment","تعليق التسليم الخارجي",,,
"FIFO","الوارد أولاً يخرج أولاً (FIFO)",,,
"Facturation ultérieure","الفوترة اللاحقة",,,
"Feature currently not available with Open Street Maps.","الميزة غير متاحة حاليًا مع Open Street Maps.",,,
"Field","الحقل",,,
"Field's formula","صيغة الحقل",,,
"Fields formula","صيغة الحقول",,,
"Fields linked to the shipment are differents, the value of the oldest will be kept.","الحقول المرتبطة بالشحنة مختلفة، سيتم الاحتفاظ بقيمة الأقدم.",,,
"File %s successfully imported.","تم استيراد الملف %s بنجاح.",,,
"File (CSV)","ملف (CSV)",,,
"File Format","تنسيق الملف",,,
"Fill in products from movements","ملء المنتجات من الحركات",,,
"Fill inventory","ملء الجرد",,,
"Fill inventory with","ملء الجرد بـ",,,
"Filter on available products","تصفية المنتجات المتاحة",,,
"Filters","المرشحات",,,
"Final product density","كثافة المنتج النهائي",,,
"Financial leasing","التأجير التمويلي",,,
"Firm purchase or sale","شراء أو بيع ثابت",,,
"Fixed transport installations","المنشآت الثابتة للنقل",,,
"Forecasted Stock","المخزون المتوقع",,,
"Formula","الصيغة",,,
"Forwarder","المُرسل",,,
"Freight Carrier","شركة الشحن",,,
"Freight carrier mode","وضع شركة الشحن",,,
"Freight carrier modes","أنماط شركات الشحن",,,
"From","من",,,
"From Date","من تاريخ",,,
"From address","من العنوان",,,
"From date","من التاريخ",,,
"From rack","من الرف",,,
"From stock location","من موقع المخزون",,,
"Full name","الاسم الكامل",,,
"Fullname","الاسم الكامل",,,
"Fully spread over logistical forms","منتشر بالكامل عبر النماذج اللوجستية",,,
"Future","المستقبل",,,
"Future Qty","الكمية المستقبلية",,,
"Future qty","الكمية المستقبلية",,,
"Gap","الفجوة",,,
"Gap value","قيمة الفجوة",,,
"General","عام",,,
"General Stock Details","تفاصيل المخزون العامة",,,
"Generate a new stock move","إنشاء تحرك مخزون جديد",,,
"Generate credit note","إنشاء إشعار دائن",,,
"Generate invoice","إنشاء فاتورة",,,
"Generate new production auto tracking Nbr.","إنشاء رقم تتبع تلقائي جديد للإنتاج",,,
"Generate new purchase auto tracking Nbr.","إنشاء رقم تتبع تلقائي جديد للمشتريات",,,
"Generate new sale auto tracking Nbr.","إنشاء رقم تتبع تلقائي جديد للمبيعات",,,
"Generate picked products","إنشاء منتجات منتقاة",,,
"Generate reversion","إنشاء عكسية",,,
"Generate stock configurations","إنشاء تكوينات المخزون",,,
"Gross Mass","الكتلة الإجمالية",,,
"Gross mass","الكتلة الإجمالية",,,
"Group products on printings","تجميع المنتجات في الطباعة",,,
"Header","رأس الصفحة",,,
"Historical Period","الفترة التاريخية",,,
"ISPM standard required","المعيار ISPM مطلوب",,,
"Ideal Qty","الكمية المثالية",,,
"Import customs clearance","إجراءات التخليص الجمركي للاستيراد",,,
"Import duties and taxes","الرسوم والضرائب الجمركية للاستيراد",,,
"Impossible to create a picked product for product %s, no stock found for company %s","من المستحيل إنشاء منتج منتقى للمنتج %s، لم يتم العثور على مخزون للشركة %s",,,
"In progress","قيد التنفيذ",,,
"Incl. obsolete products","يشمل المنتجات المتقادمة",,,
"Incl. sub location stock","يشمل مخزون الموقع الفرعي",,,
"Include out of stocks products","يشمل المنتجات غير المتوفرة في المخزون",,,
"Include virtual sub location","يشمل الموقع الفرعي الافتراضي",,,
"Incoming amount","المبلغ الوارد",,,
"Incoming move","حركة الوارد",,,
"Incoming move information","معلومات حركة الوارد",,,
"Incoming move lines","خطوط حركة الوارد",,,
"Incoming quantity","الكمية الواردة",,,
"Incorrect product for stock correction","منتج غير صحيح لتصحيح المخزون",,,
"Incorrect product in inventory line","منتج غير صحيح في خط الجرد",,,
"Incoterm","شروط التجارة الدولية (Incoterm)",,,
"Incoterm Code","رمز شروط التجارة الدولية",,,
"Incoterm Name","اسم شروط التجارة الدولية",,,
"Incoterms","شروط التجارة الدولية",,,
"Information","المعلومات",,,
"Insurance","التأمين",,,
"Internal","داخلي",,,
"Internal Stock Move filters","مرشحات حركة المخزون الداخلية",,,
"Internal Stock Moves","حركات المخزون الداخلية",,,
"Internal delivery comment","تعليق التسليم الداخلي",,,
"Internal move","حركة داخلية",,,
"Internal move information","معلومات الحركة الداخلية",,,
"Internal move lines","خطوط الحركة الداخلية",,,
"Internal number","الرقم الداخلي",,,
"Internal stock move","حركة المخزون الداخلية",,,
"Intracommunity acquisition taxable in france","الشراء داخل المجتمع الأوروبي خاضع للضرائب في فرنسا",,,
"Invalid dimensions on packing line No. %d","أبعاد غير صالحة في خط التعبئة رقم %d",,,
"Invalid field dimensions","أبعاد حقل غير صالحة",,,
"Inventories","الجرد",,,
"Inventories History","تاريخ الجرد",,,
"Inventories filters","مرشحات الجرد",,,
"Inventory","الجرد",,,
"Inventory Calendar","تقويم الجرد",,,
"Inventory N°","رقم الجرد",,,
"Inventory Title","عنوان الجرد",,,
"Inventory line","خط الجرد",,,
"Inventory line successfully updated","تم تحديث خط الجرد بنجاح",,,
"Inventory lines","خطوط الجرد",,,
"Inventory successfully updated","تم تحديث الجرد بنجاح",,,
"Inventory template","نموذج الجرد",,,
"Inventory valuation type","نوع تقييم الجرد",,,
"Inventory virtual stock location","موقع مخزون الجرد الافتراضي",,,
"Inventory's lines' list has been filled.","تم ملء قائمة خطوط الجرد.",,,
"Inventory.barcode","باركود الجرد",,,
"Inventory.category","فئة الجرد",,,
"Inventory.code","رمز الجرد",,,
"Inventory.company","شركة الجرد",,,
"Inventory.createdOn","تم إنشاء الجرد في",,,
"Inventory.date","تاريخ الجرد",,,
"Inventory.description","وصف الجرد",,,
"Inventory.fromRack","من الرف",,,
"Inventory.lastInventoryDate","تاريخ آخر جرد",,,
"Inventory.plannedEndDateT","تاريخ الانتهاء المخطط له",,,
"Inventory.plannedStartDateT","تاريخ البدء المخطط له",,,
"Inventory.product","منتج الجرد",,,
"Inventory.productCategory","فئة منتج الجرد",,,
"Inventory.productFamily","عائلة منتج الجرد",,,
"Inventory.rack","رف الجرد",,,
"Inventory.realQty","الكمية الفعلية للجرد",,,
"Inventory.stockLocation","موقع مخزون الجرد",,,
"Inventory.title","عنوان الجرد",,,
"Inventory.toRack","إلى الرف",,,
"Inventory.trackingNumber","رقم تتبع الجرد",,,
"Inventory.unit","وحدة الجرد",,,
"Invoiced","مفوتر",,,
"Is ISPM15 required","هل ISPM15 مطلوب؟",,,
"Is avg price changed","هل تغير السعر المتوسط؟",,,
"Is certificate of conformity required","هل شهادة المطابقة مطلوبة؟",,,
"Is certificate of conformity signed","هل تم توقيع شهادة المطابقة؟",,,
"Is real qty modified by user","هل تم تعديل الكمية الفعلية من قبل المستخدم؟",,,
"Is reversion","هل هو انعكاس؟",,,
"LIFO","آخر وارد أول صادر (LIFO)",,,
"Label","التسمية",,,
"Last Future Stock Move","آخر حركة مخزون مستقبلية",,,
"Last Inventory date","تاريخ آخر جرد",,,
"Last inventory","آخر جرد",,,
"Last inventory date","تاريخ آخر جرد",,,
"Last inventory real qty","آخر كمية فعلية للجرد",,,
"Late Deliveries","التسليمات المتأخرة",,,
"Late customer deliveries","التسليمات المتأخرة للعملاء",,,
"Late supplier arrivals","الوصولات المتأخرة للموردين",,,
"Line length too big","طول الخط كبير جدًا",,,
"Line successfully added to stock move with id %s","تمت إضافة الخط بنجاح إلى حركة المخزون بالمعرف %s",,,
"Line successfully split.","تم تقسيم الخط بنجاح.",,,
"Line successfully updated.","تم تحديث الخط بنجاح.",,,
"Lines","الخطوط",,,
"Lines created successfully","تم إنشاء الخطوط بنجاح",,,
"Links","الروابط",,,
"Loading on truck in port of import","التحميل على الشاحنة في ميناء الاستيراد",,,
"Loading on vessel/airplane in port of export","التحميل على السفينة/الطائرة في ميناء التصدير",,,
"Location Content","محتوى الموقع",,,
"Location Lines","خطوط الموقع",,,
"Location content","محتوى الموقع",,,
"Location content details","تفاصيل محتوى الموقع",,,
"Location financial data","البيانات المالية للموقع",,,
"Logistical form","النموذج اللوجستي",,,
"Logistical form filters","مرشحات النموذج اللوجستي",,,
"Logistical form lines","خطوط النموذج اللوجستي",,,
"Logistical forms","النماذج اللوجستية",,,
"Manage backorder","إدارة الطلب المتأخر",,,
"Manage backorder?","إدارة الطلب المتأخر؟",,,
"Manage production tracking Nbr.","إدارة رقم تتبع الإنتاج",,,
"Manage purchase tracking Nbr.","إدارة رقم تتبع المشتريات",,,
"Manage sale tracking Nbr.","إدارة رقم تتبع المبيعات",,,
"Manage stock location on stock move lines","إدارة موقع المخزون في خطوط حركة المخزون",,,
"Manual","يدوي",,,
"Manufacturing order","أمر التصنيع",,,
"Map","الخريطة",,,
"Mass","الكتلة",,,
"Mass in kg","الكتلة بالكيلوجرام",,,
"Mass move","نقل الكتلة",,,
"Mass move enabled","تمكين نقل الكتلة",,,
"Mass moves","نقل الكتل",,,
"Mass stock move","نقل المخزون بالجملة",,,
"Mass stock move need","الحاجة لنقل المخزون بالجملة",,,
"Mass stock moves","حركات المخزون بالجملة",,,
"Mass stock moves need","الحاجة لحركات المخزون بالجملة",,,
"Materials for construction contract","المواد لعقد البناء",,,
"Max stock","المخزون الأقصى",,,
"Max stock date","تاريخ المخزون الأقصى",,,
"Max. Qty","الحد الأقصى للكمية",,,
"Maximum iteration for looking tracking numbers parent has been reached. Please check any circular parent dependencies.","تم الوصول إلى الحد الأقصى لتكرارات البحث عن أرقام التتبع الرئيسية. يرجى التحقق من أي تبعيات دائرية.",,,
"Merge stock moves","دمج حركات المخزون",,,
"Merged","تم الدمج",,,
"Message template","قالب الرسالة",,,
"Message template for stock rules","قالب الرسالة لقواعد المخزون",,,
"Metric weight","الوزن المتري",,,
"Metric weight in kg/m","الوزن المتري بالكيلوجرام/متر",,,
"Min stock","الحد الأدنى للمخزون",,,
"Min stock date","تاريخ الحد الأدنى للمخزون",,,
"Min. Qty","الحد الأدنى للكمية",,,
"Missing","مفقود",,,
"Missing logistical form sequence for company %s","تسلسل النموذج اللوجستي مفقود للشركة %s",,,
"Mode of transport","وسيلة النقل",,,
"Month","شهر",,,
"Move canceled","تم إلغاء الحركة",,,
"Move created","تم إنشاء الحركة",,,
"Move details","تفاصيل الحركة",,,
"Move origin type","نوع أصل الحركة",,,
"Move realized","تم تنفيذ الحركة",,,
"Moved qty is greater than current quantity (%s)","الكمية المنقولة أكبر من الكمية الحالية (%s)",,,
"Moved quantity is equal to 0 or less (%s)","الكمية المنقولة تساوي 0 أو أقل (%s)",,,
"Moves Cancelled","تم إلغاء الحركات",,,
"Moves History","سجل الحركات",,,
"Moves To Prepare","الحركات التي تحتاج إلى إعداد",,,
"Must set mass unit in stock configuration for customs.","يجب تعيين وحدة الكتلة في إعدادات المخزون للجمارك.",,,
"Name","الاسم",,,
"Nature of transaction","طبيعة المعاملة",,,
"Nbr of incoming moves","عدد الحركات الواردة",,,
"Nbr of outgoing moves","عدد الحركات الصادرة",,,
"Net mass","الكتلة الصافية",,,
"No","لا",,,
"No Tracking Numbers Added","لم تتم إضافة أرقام تتبع",,,
"No dimension could be computed, please make sure that you have the necessary field to compute at least one field","تعذر حساب أي بُعد، يرجى التأكد من وجود الحقل الضروري لحساب بُعد واحد على الأقل",,,
"No economic area is configured for %s.","لم يتم تكوين أي منطقة اقتصادية لـ %s.",,,
