"key","message","comment","context"
"Actions","الإجراءات",,,
"Activate partial invoicing for incoming moves","تفعيل الفوترة الجزئية للحركات الواردة",,,
"Activate partial invoicing for outgoing moves","تفعيل الفوترة الجزئية للحركات الصادرة",,,
"Add to cart","إضافة إلى السلة",,,
"All invoices have been generated for this sale order.","تم إنشاء جميع الفواتير لهذا الأمر البيع.",,,
"Allocated Qty","الكمية المخصصة",,,
"Allocated qty","الكمية المخصصة",,,
"Allow Subscriptions for Sale orders","السماح بالاشتراكات لأوامر البيع",,,
"Allow complete manually sale order","السماح بإكمال أمر البيع يدويًا",,,
"Allow finish manually purchase order","السماح بإنهاء أمر الشراء يدويًا",,,
"Allow timetable invoicing","السماح بالفوترة حسب الجدول الزمني",,,
"Amount","المبلغ",,,
"Amount cannot be superior to the order's total excluding taxes","لا يمكن أن يكون المبلغ أعلى من إجمالي الأمر بدون الضرائب",,,
"Amount invoiced W.T.","المبلغ المفوتر بدون ضرائب",,,
"Amount not invoiced","المبلغ غير المفوتر",,,
"Amount remaining to use","المبلغ المتبقي للاستخدام",,,
"Amount to invoice","المبلغ المطلوب فوترة",,,
"An active stock move (%s) already exists for the sale order %s.","حركة مخزون نشطة (%s) موجودة بالفعل لأمر البيع %s.",,,
"An invoice at status draft or validated is linked to the stock move %s. Please contact the invoicing/accounting department before any changes.","فاتورة بحالة مسودة أو مُعتمدة مرتبطة بحركة المخزون %s. يرجى الاتصال بقسم الفوترة/المحاسبة قبل إجراء أي تغييرات.",,,
"An invoice not canceled already exists for the incoming stock move %s","توجد بالفعل فاتورة غير ملغاة لحركة المخزون الواردة %s",,,
"An invoice not canceled already exists for the outgoing stock move %s","توجد بالفعل فاتورة غير ملغاة لحركة المخزون الصادرة %s",,,
"Analytic Move Line","خط حركة تحليلية",,,
"Analytic distribution lines","خطوط التوزيع التحليلية",,,
"Analytic distribution template","نموذج التوزيع التحليلي",,,
"Analytic move line","خط حركة تحليلية",,,
"Analytic move lines","خطوط الحركة التحليلية",,,
"Analytics","التحليلات",,,
"App","تطبيق",,,
"App Supplychain","تطبيق سلسلة التوريد",,,
"App supplychain","تطبيق سلسلة التوريد",,,
"Archived","مؤرشف",,,
"Are you sure you want to run the calculation ? Calculation can take a long time.","هل أنت متأكد أنك تريد تشغيل الحساب؟ قد يستغرق الحساب وقتًا طويلاً.",,,
"Associated estimated delivery mrp line","خط تسليم تقديري مرتبط بتخطيط الإنتاج (MRP)",,,
"At least one sale order line must be selected","يجب اختيار خط أمر بيع واحد على الأقل",,,
"At least one stock move is in litigation, do you really want to validate passed for payment ?","يوجد على الأقل حركة مخزون واحدة قيد النزاع، هل تريد حقًا التحقق من الصلاحية للدفع؟",,,
"At least one timetable is invoiced, you cannot edit the order anymore.","تمت فوترة جدول زمني واحد على الأقل، لا يمكنك تعديل الطلب بعد الآن.",,,
"Auto allocate during an availability request","التخصيص التلقائي أثناء طلب التوافر",,,
"Auto allocate stock on other stock moves","التخصيص التلقائي للمخزون في حركات المخزون الأخرى",,,
"Auto allocate stock on receipt","التخصيص التلقائي للمخزون عند الاستلام",,,
"Auto fill delivery real quantity","الملء التلقائي للكمية الفعلية للتسليم",,,
"Auto fill receipt real quantity","الملء التلقائي للكمية الفعلية للاستلام",,,
"Auto request reserved qty","طلب تلقائي للكمية المحجوزة",,,
"Availability","التوافر",,,
"Availability requests","طلبات التوافر",,,
"Available","متاح",,,
"Available status","حالة التوافر",,,
"Available stock","المخزون المتاح",,,
"Batch update stock history :","تحديث دفعي لتاريخ المخزون :",,,
"Batches","الدُفعات",,,
"Batchs","الدُفعات",,,
"Block deallocation on availability request","حظر إلغاء التخصيص عند طلب التوافر",,,
"Blocked by","محظور بواسطة",,,
"Blocked until","محظور حتى",,,
"Blocking reason","سبب الحظر",,,
"Building quantity","كمية البناء",,,
"Buyers","المشترون",,,
"Calculation End Date","تاريخ انتهاء الحساب",,,
"Calculation Start Date","تاريخ بدء الحساب",,,
"Calculation ended","اكتمل الحساب",,,
"Calculation in progress","الحساب قيد التقدم",,,
"Calculation started","بدأ الحساب",,,
"Can only be cancelled from drafted or confirmed forecast.","يمكن الإلغاء فقط من التوقعات المسودة أو المؤكدة.",,,
"Can only be confirmed from drafted forecast.","يمكن التأكيد فقط من التوقعات المسودة.",,,
"Can only go back to confirmed if completed.","يمكن العودة إلى الحالة المؤكدة فقط إذا اكتمل.",,,
"Can only return to validated from finished purchase order.","يمكن العودة إلى الحالة المعتمدة فقط من أمر الشراء المكتمل.",,,
"Can't cancel a stock move that is partially or totally invoiced.","لا يمكن إلغاء حركة المخزون التي تم إصدار فاتورة لها جزئيًا أو كليًا.",,,
"Can't remove delivered detail line %s.","لا يمكن إزالة سطر التفاصيل المسلم %s.",,,
"Cancel","إلغاء",,,
"Cancel reason on changing sale order","سبب الإلغاء عند تغيير أمر البيع",,,
"Cancel stock allocation ?","إلغاء تخصيص المخزون؟",,,
"Cancelled","ملغى",,,
"Carriage paid threshold","حد الشحن المدفوع",,,
"Carriage paid threshold is exceeded, all shipment cost lines are removed","تم تجاوز حد الشحن المدفوع، وتمت إزالة جميع بنود تكاليف الشحن",,,
"Carrier","الناقل",,,
"Cart","سلة",,,
"Cart lines","خطوط السلة",,,
"Carts","السلال",,,
"Change allocated qty","تغيير الكمية المخصصة",,,
"Change requested reserved qty","تغيير الكمية المحجوزة المطلوبة",,,
"Change reserved qty","تغيير الكمية المحجوزة",,,
"Check stock compliance with stock rules","التحقق من توافق المخزون مع قواعد المخزون",,,
"Check stocks in a sale order","التحقق من المخزون في أمر البيع",,,
"Code","الرمز",,,
"Comment","تعليق",,,
"Comments","التعليقات",,,
"Company","الشركة",,,
"Complete sale order when all has been invoiced","إكمال أمر البيع عند إصدار فاتورة للجميع",,,
"Compute sub stock locations","حساب المواقع الفرعية للمخزون",,,
"Configuration","الإعدادات",,,
"Confirm","تأكيد",,,
"Confirm Purchase order generation","تأكيد إنشاء أمر الشراء",,,
"Confirmation","التأكيد",,,
"Confirmation date","تاريخ التأكيد",,,
"Confirmed","مؤكد",,,
"Consider only late sales","النظر فقط في المبيعات المتأخرة",,,
"Consolidate the proposals per supplier","تجميع العروض لكل مورد",,,
"Consume manuf order quantity","استهلاك كمية أمر التصنيع",,,
"Contact","جهة الاتصال",,,
"Contact partner","جهة الاتصال الشريكة",,,
"Contract/Subscription","العقد/الاشتراك",,,
"Could not find MRP with sequence %s.","تعذر العثور على تخطيط الإنتاج (MRP) بالتسلسل %s.",,,
"Could not find eligible email template for stock rules: %s","تعذر العثور على نموذج بريد إلكتروني مناسب لقواعد المخزون: %s",,,
"Could not find recipients for message generated from stock rules: %s","تعذر العثور على مستلمين للرسالة التي تم إنشاؤها من قواعد المخزون: %s",,,
"Could not process MRP %s since its computation is already ongoing.","تعذر معالجة تخطيط الإنتاج (MRP) %s لأن حسابه قيد التقدم بالفعل.",,,
"Country","الدولة",,,
"Cpte Ana. AXIS1","الحساب التحليلي. المحور 1",,,
"Cpte Ana. AXIS2","الحساب التحليلي. المحور 2",,,
"Cpte Ana. AXIS3","الحساب التحليلي. المحور 3",,,
"Cpte Ana. AXIS4","الحساب التحليلي. المحور 4",,,
"Cpte Ana. AXIS5","الحساب التحليلي. المحور 5",,,
"Create interco invoice as validated","إنشاء فاتورة بين الشركات على أنها معتمدة",,,
"Create interco purchase quotation as requested","إنشاء عرض أسعار شراء بين الشركات حسب الطلب",,,
"Create interco sale quotation as finalized","إنشاء عرض أسعار بيع بين الشركات كمنتهي",,,
"Create purchase counterpart on this status","إنشاء نظير شراء على هذه الحالة",,,
"Create sale counterpart on this status","إنشاء نظير بيع على هذه الحالة",,,
"Created by","تم الإنشاء بواسطة",,,
"Created by interco","تم الإنشاء بين الشركات",,,
"Created from SOP","تم الإنشاء من إجراء قياسي (SOP)",,,
"Created manually","تم الإنشاء يدويًا",,,
"Created on","تم الإنشاء في",,,
"Cumulative qty","الكمية التراكمية",,,
"Current date","التاريخ الحالي",,,
"Current date + days","التاريخ الحالي + الأيام",,,
"Cust. Invoices","فواتير العملاء",,,
"Customer","العميل",,,
"Customer Stock Move to invoice","حركة مخزون العميل للفوترة",,,
"Customer deliveries","تسليمات العملاء",,,
"Customer deliveries filters","فلاتر تسليمات العملاء",,,
"Customer deliveries management","إدارة تسليمات العملاء",,,
"Customer delivery","تسليم العميل",,,
"Customer shipping carriage paid configuration","تكوين الشحن المدفوع للعميل",,,
"Customs code nomenclature is missing on product %s.","تسمية رمز الجمارك مفقودة على المنتج %s.",,,
"Cut off generation","إنشاء القطع",,,
"DECLARATION OF EXCHANGES OF GOODS BETWEEN MEMBER STATES OF THE EUROPEAN COMMUNITY","إعلان تبادل البضائع بين الدول الأعضاء في الجماعة الأوروبية",,,
"Dashlet.Moves","لوحة التحكم. التحركات",,,
"Date","التاريخ",,,
"Date of shipment","تاريخ الشحنة",,,
"Date to match delivery delay","التاريخ لمطابقة تأخير التسليم",,,
"Date to respect delays","التاريخ لاحترام التأخيرات",,,
"Day (end of month)","اليوم (نهاية الشهر)",,,
"Declaration of exchange filters","فلاتر إعلان التبادل",,,
"Declaration of exchanges","إعلان التبادلات",,,
"Declaration of exchanges of goods","إعلان تبادل السلع",,,
"Declaration of exchanges of goods template","نموذج إعلان تبادل السلع",,,
"Declaration of exchanges of services template","نموذج إعلان تبادل الخدمات",,,
"Declarations of exchanges","إعلانات التبادلات",,,
"Default estimated date in stock move from purchase order","التاريخ التقديري الافتراضي في حركة المخزون من أمر الشراء",,,
"Default estimated date in stock move from sale order","التاريخ التقديري الافتراضي في حركة المخزون من أمر البيع",,,
"Default stock location","موقع المخزون الافتراضي",,,
"Delayed invoicing","الفوترة المؤجلة",,,
"Delivered","تم التسليم",,,
"Delivered by","تم التسليم بواسطة",,,
"Deliveries Cancelled","التسليمات الملغاة",,,
"Deliveries History","سجل التسليمات",,,
"Deliveries to prepare","التسليمات للتحضير",,,
"Delivery State","حالة التسليم",,,
"Delivery conditions","شروط التسليم",,,
"Delivery or receipt state","حالة التسليم أو الاستلام",,,
"Delivery partner","الشريك المسؤول عن التسليم",,,
"Delivery state","حالة التسليم",,,
"Description","الوصف",,,
"Direct order","طلب مباشر",,,
"Direct order default stock location","الموقع الافتراضي للمخزون للطلب المباشر",,,
"Direct order stock location","موقع مخزون الطلب المباشر",,,
"Display product without proposal","عرض المنتج بدون اقتراح",,,
"Don't take in consideration for the stock computation","عدم الأخذ بعين الاعتبار في حسابات المخزون",,,
"Don't take in consideration on MRP","عدم الأخذ بعين الاعتبار في تخطيط الإنتاج (MRP)",,,
"Draft","مسودة",,,
"Edited by user","تم التعديل بواسطة المستخدم",,,
"Element","عنصر",,,
"End date","تاريخ الانتهاء",,,
"Entry of stock","إدخال المخزون",,,
"Error during the computation of MRP %s","خطأ أثناء حساب تخطيط الإنتاج (MRP) %s",,,
"Error generating subscription invoice(s): '%s'","خطأ في إنشاء فاتورة الاشتراك (الفواتير): '%s'",,,
"Error that happened during the computation","خطأ حدث أثناء الحساب",,,
"Estimated delivery date","تاريخ التسليم التقديري",,,
"Estimated shipping date","تاريخ الشحن التقديري",,,
"European declaration of services","إعلان الخدمات الأوروبية",,,
"Exclude from MRP","استبعاد من تخطيط الإنتاج (MRP)",,,
"Exclude late sales","استبعاد المبيعات المتأخرة",,,
"Expected realisation date","تاريخ الإنجاز المتوقع",,,
"Expected/Future Quantity","الكمية المتوقعة / المستقبلية",,,
"Expedition","شحن",,,
"Export directory is not configured.","لم يتم تكوين دليل التصدير.",,,
"Fetch limit","حد الجلب",,,
"Fetch limit for this batch. 0 will not be taken into account. In this case, the value configured in app Base will be used.","حد الجلب لهذه الدُفعة. 0 لن يتم أخذه في الاعتبار. في هذه الحالة، سيتم استخدام القيمة التي تم تكوينها في التطبيق الأساسي.",,,
"Field fieldSelect is null for %s","الحقل fieldSelect فارغ لـ %s",,,
"Field of application","مجال التطبيق",,,
"Field to select","الحقل المطلوب اختياره",,,
"Fill real quantities","ملء الكميات الحقيقية",,,
"Filters","الفلاتر",,,
"Fiscal year","السنة المالية",,,
"FixedAsset.Location","موقع الأصول الثابتة",,,
"Forecast date","تاريخ التوقع",,,
"Forecasted customer invoices","الفواتير المتوقعة للعملاء",,,
"Forecasted invoice customer account","حساب العميل لفاتورة متوقعة",,,
"Forecasted invoice supplier account","حساب المورد لفاتورة متوقعة",,,
"Forecasted supplier invoices","الفواتير المتوقعة للموردين",,,
"Forecasts","التوقعات",,,
"Format","التنسيق",,,
"Forwarder","المُرسل",,,
"Freight carrier mode","وضع ناقل الشحن",,,
"From Date","من التاريخ",,,
"From stock location","من موقع المخزون",,,
"Full name","الاسم الكامل",,,
"Future quantity","الكمية المستقبلية",,,
"Generate Invoice","إنشاء الفاتورة",,,
"Generate all possible proposals","إنشاء جميع الاقتراحات الممكنة",,,
"Generate customer deliveries automatically","إنشاء تسليمات العملاء تلقائيًا",,,
"Generate inc. moves for products","إنشاء الحركات الداخلية للمنتجات",,,
"Generate inc. moves for services","إنشاء الحركات الداخلية للخدمات",,,
"Generate invoice from purchase order","إنشاء فاتورة من أمر الشراء",,,
"Generate invoice from sale order","إنشاء فاتورة من أمر البيع",,,
"Generate invoice from stock move","إنشاء فاتورة من حركة المخزون",,,
"Generate invoices","إنشاء الفواتير",,,
"Generate one invoice per incoming stockMove","إنشاء فاتورة واحدة لكل حركة مخزون واردة",,,
"Generate one invoice per outgoing stockMove","إنشاء فاتورة واحدة لكل حركة مخزون صادرة",,,
"Generate out. moves for products","إنشاء الحركات الصادرة للمنتجات",,,
"Generate out. moves for services","إنشاء الحركات الصادرة للخدمات",,,
"Generate proposal","إنشاء اقتراح",,,
"Generate proposals","إنشاء اقتراحات",,,
"Generate proposals for selected lines","إنشاء اقتراحات للأسطر المحددة",,,
"Generate purchase orders automatically","إنشاء أوامر الشراء تلقائيًا",,,
"Generate single invoice","إنشاء فاتورة واحدة",,,
"Generate supplier arrivals automatically","إنشاء وصول الموردين تلقائيًا",,,
"Generate supply chain configurations","إنشاء تكوينات سلسلة التوريد",,,
"Generate the invoice","إنشاء الفاتورة",,,
"Generated sale order","أمر البيع المُنشأ",,,
"Growth coefficient","معامل النمو",,,
"Has carriage paid possibility","إمكانية الشحن المدفوع",,,
"Hide Unit Amounts","إخفاء مبالغ الوحدة",,,
"Ideal Qty","الكمية المثالية",,,
"If true, after allocating quantity for a given stock move we allocate the remaining quantity in others stock moves.","إذا كان صحيحًا، بعد تخصيص الكمية لحركة مخزون معينة نقوم بتخصيص الكمية المتبقية في حركات المخزون الأخرى.",,,
"If true, the requested quantity for reservation will be equal to the quantity of the given sale order line.","إذا كان صحيحًا، ستكون الكمية المطلوبة للحجز مساوية للكمية في سطر أمر البيع المحدد.",,,
"Ignore end date","تجاهل تاريخ الانتهاء",,,
"Include element without date","تضمين العناصر بدون تاريخ",,,
"Include elements with a date later than MRP end date.","تضمين العناصر التي يكون تاريخها بعد تاريخ انتهاء تخطيط الإنتاج (MRP).",,,
"Include in DEB","تضمين في DEB",,,
"Include late sales","تضمين المبيعات المتأخرة",,,
"Include sales with a planned delivery date in the past but which have not yet been delivered.","تضمين المبيعات التي لها تاريخ تسليم مخطط له في الماضي ولكن لم يتم تسليمها بعد.",,,
"Incorrect product in the stock move %s","منتج غير صحيح في حركة المخزون %s",,,
"Incoterm","شروط التجارة الدولية (Incoterm)",,,
"Incoterm must be filled","يجب ملء شروط التجارة الدولية (Incoterm)",,,
"Indicators","المؤشرات",,,
"Information","المعلومات",,,
"Insurance date credit","تاريخ الائتمان التأميني",,,
"Interco","التعامل بين الشركات (Interco)",,,
"Interco from invoice","التعامل بين الشركات من الفاتورة",,,
"Interco from purchase","التعامل بين الشركات من الشراء",,,
"Interco from sale","التعامل بين الشركات من البيع",,,
"Introduction","مقدمة",,,
"Invoice","فاتورة",,,
"Invoice %s type is not filled.","نوع الفاتورة %s غير مملوء.",,,
"Invoice all","فواتير الكل",,,
"Invoice an advance payment","فاتورة دفعة مقدمة",,,
"Invoice blocking","حظر الفواتير",,,
"Invoice blocking reason","سبب حظر الفاتورة",,,
"Invoice blocking reasons","أسباب حظر الفواتير",,,
"Invoice controlled","فاتورة خاضعة للرقابة",,,
"Invoice created","تم إنشاء الفاتورة",,,
"Invoice generated","تم إنشاء الفاتورة",,,
"Invoice on timetable","فاتورة على الجدول الزمني",,,
"Invoice orders","طلبات الفواتير",,,
"Invoice orders batch type","نوع دفعة طلبات الفواتير",,,
"Invoice orders configuration","تكوين طلبات الفواتير",,,
"Invoice outgoing stock moves","فاتورة لحركات المخزون الصادرة",,,
"Invoice partially stock move","فاتورة لحركة مخزون جزئية",,,
"Invoice selected lines","فاتورة للأسطر المحددة",,,
"Invoiced","مفوتر",,,
"Invoiced Qty","الكمية المفوترة",,,
"Invoiced by","تمت الفوترة بواسطة",,,
"Invoiced partner","الشريك المفوتر",,,
"Invoiced periods","فترات الفوترة",,,
"Invoices","الفواتير",,,
"Invoicing","الفوترة",,,
"Invoicing Blocking","حظر الفوترة",,,
"Invoicing State","حالة الفوترة",,,
"Invoicing batch","دفعة الفوترة",,,
"Invoicing blocked customer deliveries","تسليمات العملاء المحظورة للفوترة",,,
"Invoicing of this stock move is blocked.","تم حظر فوترة حركة المخزون هذه.",,,
"Invoicing status","حالة الفوترة",,,
"Is ISPM 15 required","هل ISPM 15 مطلوب؟",,,
"Is amount in %","هل المبلغ بالنسبة المئوية؟",,,
"Is certificate of conformity required","هل شهادة المطابقة مطلوبة؟",,,
"Is merged stock move line","هل تم دمج سطر حركة المخزون؟",,,
"It is not allowed to invoice a greater quantity %s than the delivered quantity %s. Please check the invoice line with this product %s.","لا يُسمح بفوترة كمية أكبر %s من الكمية المسلمة %s. يُرجى التحقق من سطر الفاتورة لهذا المنتج %s.",,,
"It is not possible to delete a stock move line with allocated or reserved quantity.","لا يمكن حذف سطر حركة المخزون الذي يحتوي على كمية مخصصة أو محجوزة.",,,
"Label","تسمية",,,
"Late Deliveries","التسليمات المتأخرة",,,
"Late sales","المبيعات المتأخرة",,,
"Left empty","اترك فارغًا",,,
"Line numberFiscal valueTaker","رقم السطر قيمة مالية المستلم",,,
"Line numberNomenclatureSource or destination countryFiscal valueRegimeNet massSupplementary unitNature of transactionMode of transportDepartmentCountry of originAcquirerProduct codeProduct namePartnerInvoice","رقم السطر التسمية المصدر أو الوجهة القيمة المالية النظام الكتلة الصافية الوحدة الإضافية طبيعة المعاملة وسيلة النقل الإدارة بلد المنشأ المشتري كود المنتج اسم المنتج شريك الفاتورة",,,
"Lines to invoice","الأسطر المطلوب فوترتها",,,
"LogisticalForm.customerCode","نموذج لوجستي.كود العميل",,,
"LogisticalForm.customerName","نموذج لوجستي.اسم العميل",,,
"LogisticalForm.date","نموذج لوجستي.التاريخ",,,
"LogisticalForm.item","نموذج لوجستي.العنصر",,,
"LogisticalForm.itemDescription","نموذج لوجستي.وصف العنصر",,,
"LogisticalForm.packagingNumber","نموذج لوجستي.رقم التعبئة",,,
"LogisticalForm.packingList","نموذج لوجستي.قائمة التعبئة",,,
"LogisticalForm.shippingComments","نموذج لوجستي.تعليقات الشحن",,,
"LogisticalForm.totalNetMass","نموذج لوجستي.إجمالي الكتلة الصافية",,,
"LogisticalFormLine.numberOfParcels/Pallets: {0} - LogisticalForm.totalGrossMass ({1}): {2}","عدد الطرود/المنصات: {0} - إجمالي الكتلة الإجمالية للنموذج اللوجستي ({1}): {2}",,,
"LogisticalFormLine.palletNo <strong>{0}</strong> - LogisticalFormLine.dimensions <strong>{1}</strong> - LogisticalFormLine.grossMass ({2}): <strong>{3}</strong>","رقم المنصة <strong>{0}</strong> - أبعاد خط النموذج اللوجستي <strong>{1}</strong> - الكتلة الإجمالية ({2}): <strong>{3}</strong>",,,
"LogisticalFormLine.parcelNo <strong>{0}</strong> - LogisticalFormLine.dimensions <strong>{1}</strong> - LogisticalFormLine.grossMass ({2}): <strong>{3}</strong>","رقم الطرد <strong>{0}</strong> - أبعاد خط النموذج اللوجستي <strong>{1}</strong> - الكتلة الإجمالية ({2}): <strong>{3}</strong>",,,
"LogisticalFormLine.qty","كمية خط النموذج اللوجستي",,,
"LogisticalFormLine.stockMoveNo {0} / LogisticalFormLine.refNo {1}","رقم حركة المخزون للنموذج اللوجستي {0} / رقم المرجع {1}",,,
"MPS","نظام التخطيط الرئيسي (MPS)",,,
"MRP","تخطيط متطلبات المواد (MRP)",,,
"MRP Type","نوع تخطيط متطلبات المواد (MRP)",,,
"MRP Types","أنواع تخطيط متطلبات المواد (MRP)",,,
"MRP families","عائلات تخطيط متطلبات المواد (MRP)",,,
"MRP family","عائلة تخطيط متطلبات المواد (MRP)",,,
"MRP forecast","توقع تخطيط متطلبات المواد (MRP)",,,
"MRP forecasts","توقعات تخطيط متطلبات المواد (MRP)",,,
"MRP move types","أنواع حركات تخطيط متطلبات المواد (MRP)",,,
"MRP number","رقم تخطيط متطلبات المواد (MRP)",,,
"MRP nÂ°%s is now finished","تخطيط متطلبات المواد (MRP) رقم %s قد انتهى الآن",,,
"MRP sequence is missing.","تسلسل تخطيط متطلبات المواد (MRP) مفقود.",,,
"MRP to compute","تخطيط متطلبات المواد (MRP) المطلوب حسابه",,,
"Manage advance payments from payment conditions","إدارة الدفعات المقدمة من شروط الدفع",,,
"Manage stock reservation","إدارة حجز المخزون",,,
"Mass Cust. Stock Move Invoicing","فواتير نقل مخزون العملاء بالجملة",,,
"Mass Suppl. Stock Move Invoicing","فواتير نقل مخزون الموردين بالجملة",,,
"Mass sale order line invoicing","فواتير خطوط أوامر البيع بالجملة",,,
"Maturity","الاستحقاق",,,
"Maximum level","المستوى الأقصى",,,
"Min qty","الحد الأدنى للكمية",,,
"Missing","مفقود",,,
"Missing manuf order quantity","الكمية المفقودة في أمر التصنيع",,,
"Month","الشهر",,,
"Move","حركة",,,
"Mrp","تخطيط متطلبات المواد (MRP)",,,
"Mrp calculation is already on going.","يتم حساب تخطيط متطلبات المواد (MRP) بالفعل.",,,
"Mrp line","خط تخطيط متطلبات المواد (MRP)",,,
"MrpList.code","رمز قائمة تخطيط متطلبات المواد (MRP)",,,
"MrpList.createdOn","تم الإنشاء في قائمة تخطيط متطلبات المواد (MRP)",,,
"MrpList.cumulativeQty","الكمية التراكمية في قائمة تخطيط متطلبات المواد (MRP)",,,
"MrpList.endDate","تاريخ الانتهاء في قائمة تخطيط متطلبات المواد (MRP)",,,
"MrpList.forecastDate","تاريخ التوقع في قائمة تخطيط متطلبات المواد (MRP)",,,
"MrpList.forecastsTitle","عنوان التوقعات في قائمة تخطيط متطلبات المواد (MRP)",,,
"MrpList.maturityDate","تاريخ الاستحقاق في قائمة تخطيط متطلبات المواد (MRP)",,,
"MrpList.maxLevel","المستوى الأقصى في قائمة تخطيط متطلبات المواد (MRP)",,,
"MrpList.minQty","الحد الأدنى للكمية في قائمة تخطيط متطلبات المواد (MRP)",,,
"MrpList.name","الاسم في قائمة تخطيط متطلبات المواد (MRP)",,,
"MrpList.parentProductCategory","الفئة الرئيسية للمنتج في قائمة تخطيط متطلبات المواد (MRP)",,,
"MrpList.partner","الشريك في قائمة تخطيط متطلبات المواد (MRP)",,,
"MrpList.price","السعر في قائمة تخطيط متطلبات المواد (MRP)",,,
"MrpList.product","المنتج في قائمة تخطيط متطلبات المواد (MRP)",,,
"MrpList.productCategoriesTitle","عنوان فئات المنتجات في قائمة تخطيط متطلبات المواد (MRP)",,,
"MrpList.productCategory","فئة المنتج في قائمة تخطيط متطلبات المواد (MRP)",,,
"MrpList.productFamiliesTitle","عنوان عائلات المنتجات في قائمة تخطيط متطلبات المواد (MRP)",,,
"MrpList.productFamily","عائلة المنتج في قائمة تخطيط متطلبات المواد (MRP)",,,
"MrpList.productType","نوع المنتج في قائمة تخطيط متطلبات المواد (MRP)",,,
"MrpList.productsTitle","عنوان المنتجات في قائمة تخطيط متطلبات المواد (MRP)",,,
"MrpList.qty","الكمية في قائمة تخطيط متطلبات المواد (MRP)",,,
"MrpList.relatedTo","مرتبط بـ في قائمة تخطيط متطلبات المواد (MRP)",,,
"MrpList.saleOrdersTitle","عنوان أوامر البيع في قائمة تخطيط متطلبات المواد (MRP)",,,
"MrpList.salePrice","سعر البيع في قائمة تخطيط متطلبات المواد (MRP)",,,
"MrpList.stockLocation","موقع المخزون في قائمة تخطيط متطلبات المواد (MRP)",,,
"MrpList.title","العنوان في قائمة تخطيط متطلبات المواد (MRP)",,,
"MrpList.totalATI","الإجمالي (ATI) في قائمة تخطيط متطلبات المواد (MRP)",,,
"MrpList.totalWT","الإجمالي (WT) في قائمة تخطيط متطلبات المواد (MRP)",,,
