"key","message","comment","context"
"Linked ranges","نطاقات مرتبطة",,,
"Linked sale order","طلب بيع مرتبط",,,
"Max GIT date time","أقصى تاريخ ووقت GIT",,,
"Max GRT date time","أقصى تاريخ ووقت GRT",,,
"Measure","قياس",,,
"Message template","قالب الرسالة",,,
"Month","شهر",,,
"Morning","صباح",,,
"Name","اسم",,,
"New btn","زر جديد",,,
"Next annual visit date","تاريخ الزيارة السنوية التالية",,,
"Next intervention","التدخل التالي",,,
"Next visit delay (in months)","تأخير الزيارة التالية (بالشهور)",,,
"No","لا",,,
"No date time in request body.","لا يوجد تاريخ ووقت في جسم الطلب.",,,
"No planned duration in request body.","لا يوجد مدة مخططة في جسم الطلب.",,,
"No planned technician user id in request body.","لا يوجد معرف مستخدم فني مخطط في جسم الطلب.",,,
"No preference","لا تفضيل",,,
"No valid zip file found.","لم يتم العثور على ملف zip صالح.",,,
"Non conforming questions","أسئلة غير مطابقة",,,
"Non respected","غير محترم",,,
"Non-conforming","غير مطابق",,,
"Non-conforming :",,,
"Normal","عادي",,,
"Not answered","لم تتم الإجابة",,,
"Nothing has been generated.","لم يتم توليد أي شيء.",,,
"Number of elements to generate","عدد العناصر التي سيتم توليدها",,,
"Number of maintenance hours","عدد ساعات الصيانة",,,
"Off-contract and non-operational","خارج العقد وغير تشغيلي",,,
"Off-contract and operational","خارج العقد وتشغيلي",,,
"Office","مكتب",,,
"Offline","غير متصل",,,
"Ok","حسنا",,,
"On alert","في حالة تأهب",,,
"On-call management","إدارة الاستدعاء",,,
"On-call planning","تخطيط الاستدعاء",,,
"Open survey","فتح الاستبيان",,,
"Opportunity","فرصة",,,
"Order","طلب",,,
"Ordered range","نطاق الطلب",,,
"Out of service","خارج الخدمة",,,
"Outsourcing","الاستعانة بمصادر خارجية",,,
"Overview","نظرة عامة",,,
"Parent model","نموذج الوالد",,,
"Parent place","مكان الوالد",,,
"Park model","نموذج الحديقة",,,
"Park models","نماذج الحدائق",,,
"Partner","شريك",,,
"Partner trading name","اسم الشريك التجاري",,,
"Periodicity","دورية",,,
"Picture","صورة",,,
"Picture successfully added.","تمت إضافة الصورة بنجاح.",,,
"Picture successfully removed.","تمت إزالة الصورة بنجاح.",,,
"Pictures","صور",,,
"Place","مكان",,,
"Plan","خطة",,,
"Planification","تخطيط",,,
"Planification date time","تاريخ ووقت التخطيط",,,
"Planned","مخطط",,,
"Planned intervention duration","مدة التدخل المخطط",,,
"Planning preference","تفضيل التخطيط",,,
"Please save to add equipments to your park model.","يرجى الحفظ لإضافة المعدات إلى نموذج الحديقة الخاص بك.",,,
"Previous intervention","التدخل السابق",,,
"Priority","أولوية",,,
"Private","خاص",,,
"Project","مشروع",,,
"Qty","الكمية",,,
"Quantity","كمية",,,
"Question","سؤال",,,
"Questions","أسئلة",,,
"Range","نطاق",,,
"Range question","سؤال النطاق",,,
"Range question sequence","تسلسل سؤال النطاق",,,
"Range questions","أسئلة النطاق",,,
"Range type","نوع النطاق",,,
"Range types","أنواع النطاق",,,
"Ranges","نطاقات",,,
"Real GIT (h)","GIT الحقيقي (س)",,,
"Real GRT (h)","GRT الحقيقي (س)",,,
"Recap","ملخص",,,
"Recap questions","أسئلة الملخص",,,
"Related Equipments","المعدات ذات الصلة",,,
"Related Interventions","التدخلات ذات الصلة",,,
"Report","تقرير",,,
"Request date time","تاريخ ووقت الطلب",,,
"Request details","تفاصيل الطلب",,,
"Request source","مصدر الطلب",,,
"Request subject","موضوع الطلب",,,
"Reschedule","إعادة جدولة",,,
"Rescheduled intervention","التدخل المعاد جدولته",,,
"Rescheduling reason","سبب إعادة الجدولة",,,
"Respected","محترم",,,
"Sale order","طلب بيع",,,
"Sale quotations","عروض أسعار البيع",,,
"Schedule of operation","جدول العمليات",,,
"Send email","إرسال البريد الإلكتروني",,,
"Send email on customer request creation","إرسال البريد الإلكتروني عند إنشاء طلب العميل",,,
"Send email on intervention planification","إرسال البريد الإلكتروني عند تخطيط التدخل",,,
"Send email on intervention re-planification","إرسال البريد الإلكتروني عند إعادة تخطيط التدخل",,,
"Send email on intervention validation","إرسال البريد الإلكتروني عند التحقق من التدخل",,,
"Sequence","تسلسل",,,
"Signature","توقيع",,,
"Specific access schedule","جدول الوصول المحدد",,,
"Standard","قياسي",,,
"Start","بدء",,,
"Start date","تاريخ البدء",,,
"Started","بدأ",,,
"State","حالة",,,
"Status","حالة",,,
"Stock move","تحرك المخزون",,,
"Supplier partner","شريك المورد",,,
"Supplier warranty end date","تاريخ انتهاء ضمان المورد",,,
"Survey generation finished","تم الانتهاء من توليد الاستبيان",,,
"Survey generation in progress","توليد الاستبيان قيد التقدم",,,
"Suspend","تعليق",,,
"Suspended","معلق",,,
"Take into account","أخذ في الاعتبار",,,
"Taken into account","تم أخذها في الاعتبار",,,
"Technical follow up","متابعة فنية",,,
"Technician","فني",,,
"Text","نص",,,
"The order must be strictly greater than the conditional question's order","يجب أن يكون الطلب أكبر من ترتيب السؤال الشرطي",,,
"The survey of the intervention ID %s has been generated.","تم توليد الاستبيان للتدخل بالمعرف %s.",,,
"There is no configured sequence for customer request.","لا يوجد تسلسل مكون لطلب العميل.",,,
"There is no configured sequence for intervention.","لا يوجد تسلسل مكون للتدخل.",,,
"This is the estimated number of hours for the maintenance of this type of Equipment and will be used to give an indication of the total number of hours required on a contract.","هذا هو العدد المقدر من الساعات لصيانة هذا النوع من المعدات وسيستخدم لإعطاء إشارة إلى العدد الإجمالي للساعات المطلوبة في العقد.",,,
"Title","عنوان",,,
"To plan","للتخطيط",,,
"Tools","أدوات",,,
"Total duration","المدة الإجمالية",,,
"Tracking Number","رقم التتبع",,,
"Trading name","اسم تجاري",,,
"Trading names","أسماء تجارية",,,
"Type","نوع",,,
"URGENT","عاجل",,,
"Unable to create a planification for this intervention. Please check planification fields.","غير قادر على إنشاء تخطيط لهذا التدخل. يرجى التحقق من حقول التخطيط.",,,
"Under contract and non-operational","تحت العقد وغير تشغيلي",,,
"Under contract and operational","تحت العقد وتشغيلي",,,
"Under contract equipments number","عدد المعدات تحت العقد",,,
"Updatable quantities","الكميات القابلة للتحديث",,,
"Upload a file or log in to the mobile app to sign","قم بتحميل ملف أو تسجيل الدخول إلى التطبيق المحمول للتوقيع",,,
"Urgent","عاجل",,,
"User in charge","المستخدم المسؤول",,,
"Value list","قائمة القيم",,,
"Yes","نعم",,,
"Zip file %s is corrupted: %s","ملف zip %s تالف: %s",,,
"com.axelor.apps.intervention.service.batch.InterventionBatchService",,,
