"General configuration","التكوين العام",,,
"Generate a new link","إنشاء رابط جديد",,,
"Generate a project task link type","إنشاء نوع ارتباط لمهمة المشروع",,,
"Generate check list","إنشاء قائمة تحقق",,,
"Generate new opposite link type","إنشاء نوع ارتباط عكسي جديد",,,
"Generate opposite link type","إنشاء نوع ارتباط عكسي",,,
"Generate project configurations","إنشاء تكوينات المشروع",,,
"Generate sequence for project","إنشاء تسلسل للمشروع",,,
"Generated project","المشروع الذي تم إنشاؤه",,,
"High","عالي",,,
"Image","صورة",,,
"Import all members","استيراد جميع الأعضاء",,,
"Include sub projects","تضمين المشاريع الفرعية",,,
"Integer","عدد صحيح",,,
"Internal Description","الوصف الداخلي",,,
"Invalid model name","اسم النموذج غير صالح",,,
"Invalid selection name","اسم التحديد غير صالح",,,
"Invoicing unit","وحدة الفوترة",,,
"Is unique task for multiple quantity","هل المهمة فريدة لكمية متعددة",,,
"Last status","آخر حالة",,,
"Last updated on","آخر تحديث في",,,
"Latest announcement","أحدث إعلان",,,
"Link type","نوع الرابط",,,
"Log Times","سجلات الوقت",,,
"Log time","سجل الوقت",,,
"Low","منخفض",,,
"Manage by category","الإدارة حسب الفئة",,,
"Manage by project","الإدارة حسب المشروع",,,
"Manage opposite link type","إدارة نوع الارتباط العكسي",,,
"Manage relations","إدارة العلاقات",,,
"Members","الأعضاء",,,
"Membres","الأعضاء",,,
"Message","رسالة",,,
"MultiSelect","تحديد متعدد",,,
"My open tasks","مهامي المفتوحة",,,
"My project","مشروعي",,,
"My projects","مشاريعي",,,
"My tasks due","مهامي المستحقة",,,
"My tasks to do","مهامي التي يجب تنفيذها",,,
"My today planning","تخطيطي اليومي",,,
"My topics","مواضيعي",,,
"My upcoming planning","تخطيطي القادم",,,
"Name","الاسم",,,
"New line","سطر جديد",,,
"New topics","مواضيع جديدة",,,
"Next >>","التالي >>",,,
"Next project sequence","تسلسل المشروع التالي",,,
"Next task","المهمة التالية",,,
"No data to display","لا توجد بيانات للعرض",,,
"No status management","لا يوجد إدارة للحالة",,,
"None","لا شيء",,,
"Normal","عادي",,,
"Not specified","غير محدد",,,
"Notes","ملاحظات",,,
"Open","فتح",,,
"Open gantt","فتح جانت",,,
"Open phase","فتح المرحلة",,,
"Open task","فتح المهمة",,,
"Open task btn","زر فتح المهمة",,,
"Opposite link type","نوع الارتباط العكسي",,,
"Opposite project task link type","نوع ارتباط مهمة المشروع العكسي",,,
"Order by state","ترتيب حسب الحالة",,,
"Other customized fields","حقول مخصصة أخرى",,,
"Overview","نظرة عامة",,,
"Parent","الأصل",,,
"Parent project","المشروع الأصل",,,
"Parent task","المهمة الأصل",,,
"Per section calendar","تقويم لكل قسم",,,
"Per section kanban","كانبان لكل قسم",,,
"Per status calendar","تقويم لكل حالة",,,
"Per status kanban","كانبان لكل حالة",,,
"Per user calendar","تقويم لكل مستخدم",,,
"Phase by line","مرحلة حسب السطر",,,
"Phases","المراحل",,,
"Planned Time Planning","تخطيط الوقت المخطط",,,
"Planned charge","التكلفة المخططة",,,
"Planned progress","التقدم المخطط",,,
"Planning","التخطيط",,,
"Please check the compute full name groovy formula in project app configuration","يرجى التحقق من معادلة Groovy لحساب الاسم الكامل في تكوين تطبيق المشروع",,,
"Please configure the completed task status in the project config panel.","يرجى تكوين حالة المهمة المكتملة في لوحة تكوين المشروع.",,,
"Please configure the completed task status of the project task category.","يرجى تكوين حالة المهمة المكتملة لفئة مهام المشروع.",,,
"Please configure the project %s with project task link type %s if you want to create this link.","يرجى تكوين المشروع %s مع نوع ارتباط مهمة المشروع %s إذا كنت تريد إنشاء هذا الارتباط.",,,
"Please fill canceled project status in App Project configuration.","يرجى تعبئة حالة المشروع الملغى في تكوين تطبيق المشروع.",,,
"Please fill completed task status in Project configuration.","يرجى تعبئة حالة المهمة المكتملة في تكوين المشروع.",,,
"Please fill in task date.","يرجى تعبئة تاريخ المهمة.",,,
"Please select project","يرجى اختيار مشروع",,,
"Please select user","يرجى اختيار مستخدم",,,
"Please set the completed paid project status in the project configuration.","يرجى تعيين حالة المشروع المدفوع المكتمل في تكوين المشروع.",,,
"Please set the completed project status in the project configuration.","يرجى تعيين حالة المشروع المكتمل في تكوين المشروع.",,,
"Predecessors tasks","المهام السابقة",,,
"Preferences","التفضيلات",,,
"Priorities?","الأولويات؟",,,
"Priority","الأولوية",,,
"Product","المنتج",,,
"Progress","التقدم",,,
"Progress by task status","التقدم حسب حالة المهمة",,,
"Project","المشروع",,,
"Project Activities","أنشطة المشروع",,,
"Project Activity","نشاط المشروع",,,
"Project Calendar","تقويم المشروع",,,
"Project Gantt","مخطط جانت للمشروع",,,
"Project Label","تصنيف المشروع",,,
"Project Phase","مرحلة المشروع",,,
"Project Priority","أولوية المشروع",,,
"Project Task","مهمة المشروع",,,
"Project Task Category","فئة مهمة المشروع",,,
"Project Task Section","قسم مهمة المشروع",,,
"Project Task Tree","شجرة مهام المشروع",,,
"Project Tasks","مهام المشروع",,,
"Project alone","المشروع بمفرده",,,
"Project check list item list","قائمة عناصر التحقق من المشروع",,,
"Project check list template","نموذج قائمة التحقق من المشروع",,,
"Project code is already used. Please provide unique code","تم استخدام رمز المشروع بالفعل. يرجى تقديم رمز فريد",,,
"Project config","تكوين المشروع",,,
"Project configurations","تكوينات المشروع",,,
"Project customized fields","الحقول المخصصة للمشروع",,,
"Project dashboard","لوحة تحكم المشروع",,,
"Project fields","حقول المشروع",,,
"Project filters","مرشحات المشروع",,,
"Project json","تكوين JSON للمشروع",,,
"Project management","إدارة المشروع",,,
"Project status","حالة المشروع",,,
"Project status management","إدارة حالة المشروع",,,
"Project structure","هيكل المشروع",,,
"Project task","مهمة المشروع",,,
"Project task category","فئة مهمة المشروع",,,
"Project task category filters","مرشحات فئة مهام المشروع",,,
"Project task filters","مرشحات مهام المشروع",,,
"Project task link","ارتباط مهمة المشروع",,,
"Project task link type","نوع ارتباط مهمة المشروع",,,
"Project task linked","مهمة المشروع المرتبطة",,,
"Project task list","قائمة مهام المشروع",,,
"Project task relation","علاقة مهمة المشروع",,,
"Project task relation type","نوع علاقة مهمة المشروع",,,
"Project task relation types","أنواع علاقات مهام المشروع",,,
"Project task relations","علاقات مهام المشروع",,,
"Project task to link","مهمة المشروع للربط",,,
"Project tasks","مهام المشروع",,,
"Project template","قالب المشروع",,,
"Project template filters","مرشحات قالب المشروع",,,
"Project templates","قوالب المشروع",,,
"Project time unit","وحدة وقت المشروع",,,
"Project.Resource","مورد المشروع",,,
"Project/Business (Project)","المشروع/الأعمال (مشروع)",,,
"Projects","المشاريع",,,
"Quantity","الكمية",,,
"Related Tasks","المهام ذات الصلة",,,
"Related task","المهمة ذات الصلة",,,
"Remove lines","إزالة الأسطر",,,
"Reporting","التقارير",,,
"Reportings","التقارير",,,
"Reset","إعادة تعيين",,,
"Resource","المورد",,,
"Resource booking","حجز المورد",,,
"Resource bookings","حجوزات الموارد",,,
"Resource management","إدارة الموارد",,,
"Resource type","نوع المورد",,,
"Resource types","أنواع الموارد",,,
"Resources","الموارد",,,
"Section","القسم",,,
"Section?","القسم؟",,,
"Select","تحديد",,,
"Select Projects","تحديد المشاريع",,,
"Select Users","تحديد المستخدمين",,,
"Select an existing project task link type","تحديد نوع ارتباط مهمة المشروع الموجود",,,
"Select an opposite link type","تحديد نوع ارتباط عكسي",,,
"Select values","تحديد القيم",,,
"Seq.","التسلسل",,,
"Sequence","التسلسل",,,
"Serial/batch number","الرقم التسلسلي/رقم الدفعة",,,
"Show planning","عرض التخطيط",,,
"Show sub-projects","عرض المشاريع الفرعية",,,
"Signature","التوقيع",,,
"Site","الموقع",,,
"Sites","المواقع",,,
"Spent time","الوقت المستغرق",,,
"Start","ابدأ",,,
"Start date","تاريخ البدء",,,
"Start tasks to finish","بدء المهام لإنهائها",,,
"Start tasks to start","بدء المهام للبدء بها",,,
"Status","الحالة",,,
"Stop","إيقاف",,,
"String","نص",,,
"Sub-Projects","المشاريع الفرعية",,,
"Subject","الموضوع",,,
"Suprojects","المشاريع الفرعية",,,
"Synchronize","مزامنة",,,
"Tags","العلامات",,,
"Take charge","تحمل المسؤولية",,,
"Task","المهمة",,,
"Task Calendar","تقويم المهام",,,
"Task Tree","شجرة المهام",,,
"Task by line","المهمة حسب السطر",,,
"Task configuration","تكوين المهمة",,,
"Task date","تاريخ المهمة",,,
"Task deadline","الموعد النهائي للمهمة",,,
"Task duration","مدة المهمة",,,
"Task fields","حقول المهمة",,,
"Task parent or children has not been configured correctly.","لم يتم تكوين الأصل أو الأطفال للمهمة بشكل صحيح.",,,
"Task planning","تخطيط المهمة",,,
"Task progress","تقدم المهمة",,,
"Task recurrence","تكرار المهمة",,,
"Task status","حالة المهمة",,,
"Task status management","إدارة حالة المهمة",,,
"Task template","قالب المهمة",,,
"Task template filters","مرشحات قالب المهمة",,,
"Task template list","قائمة قوالب المهام",,,
"Task templates","قوالب المهام",,,
"Task tracking","تتبع المهام",,,
"Tasks","المهام",,,
"Tasks created by me","المهام التي أنشأتها",,,
"Tasks to finish before finish","المهام التي يجب إنهاؤها قبل النهاية",,,
"Tasks to start before start","المهام التي يجب أن تبدأ قبل البدء",,,
"Team","الفريق",,,
"Technical type","النوع الفني",,,
"Templates","القوالب",,,
"The company %s doesn't have any configured sequence for Project","الشركة %s ليس لديها تسلسل مكوّن للمشروع",,,
"The parent task creates a loop in the task tree.","المهمة الأصلية تُنشئ حلقة في شجرة المهام.",,,
"The status of project tasks will be defined by the selection chosen. The priority of the statuses displayed is determined first by the category, then by the project.","سيتم تحديد حالة مهام المشروع بناءً على الاختيار المحدد. يتم تحديد أولوية الحالات المعروضة أولاً حسب الفئة، ثم حسب المشروع.",,,
"The status of project tasks will be defined by the selection chosen. The priority of the statuses displayed is determined first by the category, then by the project. Once a task is linked to the project, the selection can no longer be modified.","سيتم تحديد حالة مهام المشروع بناءً على الاختيار المحدد. يتم تحديد أولوية الحالات المعروضة أولاً حسب الفئة، ثم حسب المشروع. بمجرد ربط مهمة بالمشروع، لا يمكن تعديل الاختيار.",,,
"There is a potential inconsistency between the progression values configured.","هناك احتمال لعدم الاتساق بين قيم التقدم المكوّنة.",,,
"This configuration allows quick access to the active project change","يسمح هذا التكوين بالوصول السريع إلى تغيير المشروع النشط",,,
"This formula allows you to define the composition of the fullName through a groovy formula","تسمح لك هذه الصيغة بتحديد تكوين الاسم الكامل من خلال معادلة Groovy",,,
"This option enables resource reservation on projects. You can create resources that can be booked on projects.","يتيح هذا الخيار حجز الموارد في المشاريع. يمكنك إنشاء موارد يمكن حجزها في المشاريع.",,,
"This option is used to activate the automatic allocation of progress to project tasks via project task category. If this option is enabled, the progress field will be available in the category view and the category will be updated using this data (or the data entered in the status if this is empty).","يُستخدم هذا الخيار لتنشيط التخصيص التلقائي للتقدم لمهام المشروع عبر فئة مهمة المشروع. إذا تم تمكين هذا الخيار، فسيكون حقل التقدم متاحًا في عرض الفئة وسيتم تحديث الفئة باستخدام هذه البيانات (أو البيانات المدخلة في الحالة إذا كانت فارغة).",,,
"This option is used to activate the automatic allocation of progress to project tasks. If it is enabled, the progress field will be available in the task statuses and will generate the progress when these change. The percentage defined by default in the statuses will apply to all tasks.","يُستخدم هذا الخيار لتنشيط التخصيص التلقائي للتقدم لمهام المشروع. إذا تم تمكينه، فسيكون حقل التقدم متاحًا في حالات المهام وسيتم توليد التقدم عند تغييرها. سيتم تطبيق النسبة المئوية المعرفة افتراضيًا في الحالات على جميع المهام.",,,
"This resource is already booked for this period","تم بالفعل حجز هذا المورد لهذه الفترة",,,
"This task status is used on project task category for the auto progress process. Do you want to update all unmodified values with this one ?","تُستخدم حالة المهمة هذه في فئة مهام المشروع لعملية التقدم التلقائية. هل تريد تحديث جميع القيم غير المعدلة بهذه القيمة؟",,,
"This task status will be used to define which status is flagged as completed for tasks.","سيتم استخدام حالة المهمة هذه لتحديد الحالة التي يتم وضع علامة عليها كمكتملة للمهام.",,,
"This will determine the unit used for project-wide reporting. If there are tasks using another unit, conversions will be made using 'Number of hours in a day' value.","سيحدد هذا الوحدة المستخدمة لإعداد التقارير على مستوى المشروع. إذا كانت هناك مهام تستخدم وحدة أخرى، فسيتم إجراء التحويلات باستخدام قيمة 'عدد الساعات في اليوم'.",,,
"Ticker number","رقم التذكرة",,,
"Ticket","تذكرة",,,
"Time Spent","الوقت المستغرق",,,
"Time Spent?","الوقت المستغرق؟",,,
"Timer","المؤقت",,,
"Timer list","قائمة المؤقتات",,,
"TimesheetLine.timeSpent","سطر الجدول الزمني - الوقت المستغرق",,,
"Title","العنوان",,,
"To Date","حتى تاريخ",,,
"To date","حتى الآن",,,
"Today","اليوم",,,
"Tools","الأدوات",,,
"Topic","الموضوع",,,
"Topic created by","الموضوع أنشئ بواسطة",,,
"Topic?","الموضوع؟",,,
"Topics","المواضيع",,,
"Topics (${name})","المواضيع (${name})",,,
"Total","الإجمالي",,,
"Total duration (Hours)","الإجمالي (بالساعات)",,,
"Total planned hours","إجمالي الساعات المخططة",,,
"Type","النوع",,,
"Type of authorized activities","نوع الأنشطة المصرح بها",,,
"Type of authorized categories","نوع الفئات المصرح بها",,,
"Type of authorized priorities","نوع الأولويات المصرح بها",,,
"Type of authorized status","نوع الحالة المصرح بها",,,
"Unit price","سعر الوحدة",,,
"Update period according to task","تحديث الفترة وفقًا للمهمة",,,
"Urgent","عاجل",,,
"Usable on project","قابل للاستخدام في المشروع",,,
"User","المستخدم",,,
"User Gantt","جانت المستخدم",,,
"User Task","مهمة المستخدم",,,
"Users","المستخدمون",,,
"Validated Timesheet lines","أسطر الجدول الزمني المعتمدة",,,
"View all issues","عرض جميع المشكلات",,,
"View configuration","عرض التكوين",,,
"Waiting Timesheet lines","أسطر الجدول الزمني قيد الانتظار",,,
"Wiki","ويكي",,,
"Wiki description","وصف الويكي",,,
"Wiki folder","مجلد الويكي",,,
"Wikis ${_projectName}","ويكي ${_projectName}",,,
"Wikis (${name})","ويكي (${name})",,,
"You have no active team, the planning can't be generated","ليس لديك فريق نشط، لا يمكن إنشاء التخطيط",,,
"You have no projects or tasks bound to you, your planning can't be generated.","ليس لديك مشاريع أو مهام مرتبطة بك، لا يمكن إنشاء التخطيط الخاص بك.",,,
"You have selected no team for this project","لم تقم بتحديد فريق لهذا المشروع",,,
"Your current check list will be erased, do you want to continue ?","سيتم مسح قائمة التحقق الحالية الخاصة بك، هل تريد المتابعة؟",,,
"Your team has no projects or tasks bound to it, the planning can't be generated.","لا يحتوي فريقك على مشاريع أو مهام مرتبطة به، لا يمكن إنشاء التخطيط.",,,
"hours","ساعات",,,
"to","إلى",,,
"updated document","المستند المحدث",,,
"value:Canceled","القيمة: ملغى",,,
"value:Done","القيمة: مكتمل",,,
"value:High","القيمة: مرتفع",,,
"value:In progress","القيمة: قيد التنفيذ",,,
"value:Low","القيمة: منخفض",,,
"value:New","القيمة: جديد",,,
