"key","message","comment","context"
"Group products on printings","تجميع المنتجات عند الطباعة",,,
"Historical","التاريخي",,,
"Historical Period","الفترة التاريخية",,,
"In ATI","في ATI",,,
"In Stock Moves","في حركات المخزون",,,
"Information","المعلومات",,,
"Internal Note","ملاحظة داخلية",,,
"Internal Ref.","مرجع داخلي",,,
"Internal note","ملاحظة داخلية",,,
"Internal purchase requests","طلبات الشراء الداخلية",,,
"Invoice Lines","أسطر الفاتورة",,,
"Invoiced","مفوتر",,,
"Invoices","الفواتير",,,
"Invoicing","الفوترة",,,
"It is not possible to delete a validated order.","لا يمكن حذف طلب معتمد.",,,
"Last update","آخر تحديث",,,
"List of purchase orders to merge is empty","قائمة أوامر الشراء المراد دمجها فارغة",,,
"Manage multiple purchase quantity","إدارة كميات شراء متعددة",,,
"Manage purchase order versions","إدارة إصدارات أوامر الشراء",,,
"Manage purchases unit on products","إدارة وحدة الشراء على المنتجات",,,
"Manage supplier catalog","إدارة كتالوج المورد",,,
"Maps","الخرائط",,,
"Max purchase price","الحد الأقصى لسعر الشراء",,,
"Merge into single purchase order","دمج في أمر شراء واحد",,,
"Merge purchase orders","دمج أوامر الشراء",,,
"Merge quotations","دمج عروض الأسعار",,,
"Message for requesting prices","رسالة لطلب الأسعار",,,
"Month","الشهر",,,
"Multiple quantities","كميات متعددة",,,
"My Closed Purchase orders","أوامر الشراء المغلقة الخاصة بي",,,
"My Ongoing Purchase orders","أوامر الشراء الجارية الخاصة بي",,,
"My Orders to process","أوامر الشراء التي يجب معالجتها",,,
"My Purchase orders","أوامر الشراء الخاصة بي",,,
"My RFQs","طلبات عرض الأسعار الخاصة بي",,,
"My RFQs and POs To Validate","طلبات عرض الأسعار وأوامر الشراء الخاصة بي التي تحتاج إلى التحقق",,,
"My Sales","مبيعاتي",,,
"My Validated POs","أوامر الشراء المعتمدة الخاصة بي",,,
"My purchased amount by product accounting family","المبلغ المشتراة حسب فئة المحاسبة للمنتج",,,
"My purchased qty by product accounting family","الكمية المشتراة حسب فئة المحاسبة للمنتج",,,
"Nbr of PO by month","عدد أوامر الشراء حسب الشهر",,,
"New product","منتج جديد",,,
"New version","إصدار جديد",,,
"Not invoiced","غير مفوتر",,,
"Not received","لم يتم الاستلام",,,
"OR","أو",,,
"Ongoing Purchase orders","أوامر الشراء الجارية",,,
"Order Date","تاريخ الطلب",,,
"Order history","سجل الطلب",,,
"Ordered","تم الطلب",,,
"PO Management","إدارة أوامر الشراء",,,
"PO Tax line","سطر الضريبة في أمر الشراء",,,
"PO Tax lines","أسطر الضريبة في أمر الشراء",,,
"PO line","سطر أمر الشراء",,,
"PO lines","أسطر أمر الشراء",,,
"PO lines detail","تفاصيل أسطر أمر الشراء",,,
"POs Volume by buyer by accounting family","حجم أوامر الشراء حسب المشتري وفئة المحاسبة",,,
"Partially invoiced","مفوتر جزئيًا",,,
"Partially received","تم استلامه جزئيًا",,,
"Percent","النسبة المئوية",,,
"Please enter at least one detail line.","يرجى إدخال سطر تفصيلي واحد على الأقل.",,,
"Please enter supplier for following purchase request : %s","يرجى إدخال المورد لطلب الشراء التالي: %s",,,
"Please fill printing settings on purchase order %s","يرجى ملء إعدادات الطباعة في أمر الشراء %s",,,
"Please select a product.","يرجى اختيار منتج.",,,
"Please select the purchase order(s) to print.","يرجى تحديد أمر(أوامر) الشراء للطباعة.",,,
"Price List","قائمة الأسعار",,,
"Price list","قائمة الأسعار",,,
"Price lists","قوائم الأسعار",,,
"Print","طباعة",,,
"Printing","الطباعة",,,
"Printing settings","إعدادات الطباعة",,,
"Printings","المطبوعات",,,
"Product","المنتج",,,
"Product Accounting Family","فئة محاسبة المنتج",,,
"Product code on catalog","رمز المنتج في الكتالوج",,,
"Product name on catalog","اسم المنتج في الكتالوج",,,
"Products & services","المنتجات والخدمات",,,
"Products list","قائمة المنتجات",,,
"Project Task","مهمة المشروع",,,
"Purchase","الشراء",,,
"Purchase Buyer","مشتري المشتريات",,,
"Purchase Manager","مدير المشتريات",,,
"Purchase Request Line","سطر طلب الشراء",,,
"Purchase Request Lines","أسطر طلب الشراء",,,
"Purchase blocking","حظر الشراء",,,
"Purchase config","تكوين الشراء",,,
"Purchase config (${ name })","تكوين الشراء (${ name })",,,
"Purchase configuration","تكوين الشراء",,,
"Purchase configurations","تكوينات الشراء",,,
"Purchase order","أمر الشراء",,,
"Purchase order created","تم إنشاء أمر الشراء",,,
"Purchase order information","معلومات أمر الشراء",,,
"Purchase order template","قالب أمر الشراء",,,
"Purchase orders","أوامر الشراء",,,
"Purchase orders ATI/WT","أوامر الشراء ATI/WT",,,
"Purchase orders to merge","أوامر الشراء للدمج",,,
"Purchase quotation","عرض أسعار الشراء",,,
"Purchase quotations","عروض أسعار الشراء",,,
"Purchase request","طلب الشراء",,,
"Purchase request filters","مرشحات طلب الشراء",,,
"PurchaseOrder.afterDiscount","أمر الشراء بعد الخصم",,,
"PurchaseOrder.base","الأساس لأمر الشراء",,,
"PurchaseOrder.buyer","المشتري",,,
"PurchaseOrder.buyerEmail","البريد الإلكتروني للمشتري",,,
"PurchaseOrder.buyerPhone","رقم هاتف المشتري",,,
"PurchaseOrder.canceled","تم الإلغاء",,,
"PurchaseOrder.customer","العميل",,,
"PurchaseOrder.customerRef","مرجع العميل",,,
"PurchaseOrder.deliveryAddress","عنوان التسليم",,,
"PurchaseOrder.description","الوصف",,,
"PurchaseOrder.desiredReceiptDate","تاريخ الاستلام المطلوب",,,
"PurchaseOrder.discountAmount","مبلغ الخصم",,,
"PurchaseOrder.draft","مسودة",,,
"PurchaseOrder.estimatedReceiptDate","التاريخ المقدر للاستلام",,,
"PurchaseOrder.finished","مُكتمل",,,
"PurchaseOrder.invoicingAddress","عنوان الفوترة",,,
"PurchaseOrder.note","ملاحظة",,,
"PurchaseOrder.order","الطلب",,,
"PurchaseOrder.orderDate","تاريخ الطلب",,,
"PurchaseOrder.paymentCondition","شروط الدفع",,,
"PurchaseOrder.paymentMode","طريقة الدفع",,,
"PurchaseOrder.priceExclTax","السعر بدون ضريبة",,,
"PurchaseOrder.priceInclTax","السعر شامل الضريبة",,,
"PurchaseOrder.productSequence","تسلسل المنتج",,,
"PurchaseOrder.productStandard","معيار المنتج",,,
"PurchaseOrder.purchaseInfo","معلومات الشراء",,,
"PurchaseOrder.qtyUnit","وحدة الكمية",,,
"PurchaseOrder.quote","عرض السعر",,,
"PurchaseOrder.ref","المرجع",,,
"PurchaseOrder.reference","المرجع",,,
"PurchaseOrder.requested","تم الطلب",,,
"PurchaseOrder.state","حالة أمر الشراء",,,
"PurchaseOrder.statusCanceled","حالة أمر الشراء: ملغى",,,
"PurchaseOrder.statusDraft","حالة أمر الشراء: مسودة",,,
"PurchaseOrder.statusFinished","حالة أمر الشراء: مكتمل",,,
"PurchaseOrder.statusRequested","حالة أمر الشراء: مطلوب",,,
"PurchaseOrder.statusValidated","حالة أمر الشراء: معتمد",,,
"PurchaseOrder.supplier","المورد",,,
"PurchaseOrder.supplierCode","رمز المورد",,,
"PurchaseOrder.supplyRef","مرجع التوريد",,,
"PurchaseOrder.tax","الضريبة",,,
"PurchaseOrder.taxAmount","مبلغ الضريبة",,,
"PurchaseOrder.taxCode","رمز الضريبة",,,
"PurchaseOrder.taxes","الضرائب",,,
"PurchaseOrder.totalDiscount","إجمالي الخصم",,,
"PurchaseOrder.totalExclTax","الإجمالي بدون ضريبة",,,
"PurchaseOrder.totalExclTaxWithoutDiscount","الإجمالي بدون ضريبة وبدون خصم",,,
"PurchaseOrder.totalInclTax","الإجمالي شامل الضريبة",,,
"PurchaseOrder.totalTax","إجمالي الضريبة",,,
"PurchaseOrder.totalTaxes","إجمالي الضرائب",,,
"PurchaseOrder.type","نوع أمر الشراء",,,
"PurchaseOrder.unitPrice","سعر الوحدة",,,
"PurchaseOrder.validated","تم الاعتماد",,,
"Purchased","تم الشراء",,,
"Purchased amount by accounting family","المبلغ المشتراة حسب فئة المحاسبة",,,
"Purchased amount by product accounting family","المبلغ المشتراة حسب فئة المحاسبة للمنتج",,,
"Purchased amount distribution by accounting family","توزيع المبلغ المشتراة حسب فئة المحاسبة",,,
"Purchases","المشتريات",,,
"Purchases Order filters","مرشحات أوامر الشراء",,,
"Purchases follow-up","متابعة المشتريات",,,
"Purchases unit","وحدة المشتريات",,,
"Qty","الكمية",,,
"Quantity","الكمية",,,
"Quantity max","أقصى كمية",,,
"Quantity min","أدنى كمية",,,
"Quotation","عرض السعر",,,
"RFQ And PO To Validate","طلبات عرض الأسعار وأوامر الشراء للتحقق",,,
"Receipt State","حالة الاستلام",,,
"Received","تم الاستلام",,,
"Received quantity","الكمية المستلمة",,,
"Ref.","مرجع",,,
"Reference already existing","المرجع موجود بالفعل",,,
"References","المراجع",,,
"Refuse","رفض",,,
"Refused","مرفوض",,,
"Reportings","التقارير",,,
"Reports","التقارير",,,
"Request","طلب",,,
"Requested","مطلوب",,,
"Requester","مقدم الطلب",,,
"Reverse charged","ضريبة مقلوبة",,,
"Sale quotations","عروض أسعار المبيعات",,,
"See purchase order lines","عرض أسطر أمر الشراء",,,
"See quotation lines","عرض أسطر عرض السعر",,,
"Send Email","إرسال بريد إلكتروني",,,
"Send email","إرسال بريد إلكتروني",,,
"Separate in a new quotation","فصل في عرض سعر جديد",,,
"Seq.","التسلسل",,,
"Shipping Coefficients","معاملات الشحن",,,
"Show invoice","عرض الفاتورة",,,
"Specific notes","ملاحظات خاصة",,,
"Specific tax note","ملاحظة ضريبية خاصة",,,
"Start date","تاريخ البدء",,,
"Status","الحالة",,,
"Stock location","موقع المخزون",,,
"Stock move","حركة المخزون",,,
"Supplier","المورد",,,
"Supplier Catalog","كتالوج المورد",,,
"Supplier Catalog Lines","أسطر كتالوج المورد",,,
"Supplier Comment","تعليق المورد",,,
"Supplier RFQ/PO","طلب عرض الأسعار/أمر الشراء من المورد",,,
"Supplier RFQs/POs","طلبات عرض الأسعار وأوامر الشراء من المورد",,,
"Supplier box in purchase order","مربع المورد في أمر الشراء",,,
"Supplier catalog","كتالوج المورد",,,
"Supplier code","رمز المورد",,,
"Supplier invoices","فواتير المورد",,,
"Supplier is required to generate a purchase order.","المورد مطلوب لإنشاء أمر شراء.",,,
"Supplier partner price list","قائمة أسعار شريك المورد",,,
"Supplier partner price lists","قوائم أسعار شريك المورد",,,
"Supplier ref.","مرجع المورد",,,
"Suppliers","الموردون",,,
"Suppliers requests","طلبات الموردين",,,
"Take product multiple qty","أخذ الكمية المتعددة للمنتج",,,
"Take product purchase price","أخذ سعر شراء المنتج",,,
"Tax","الضريبة",,,
"Tax Equiv","تكافؤ الضريبة",,,
"Tax Lines","أسطر الضريبة",,,
"Tax number","رقم الضريبة",,,
"Tax type","نوع الضريبة",,,
"Taxes","الضرائب",,,
"Team","الفريق",,,
"The company %s doesn't have any configured sequence for the purchase orders","الشركة %s ليس لديها تسلسل مكوّن لأوامر الشراء",,,
"The company is required and must be the same for all purchase orders","يجب أن تكون الشركة محددة ويجب أن تكون نفسها لجميع أوامر الشراء",,,
"The contact partner and price list must be the same for all purchase orders.","يجب أن يكون شريك الاتصال وقائمة الأسعار متطابقين لجميع أوامر الشراء.",,,
"The currency is required and must be the same for all purchase orders","العملة مطلوبة ويجب أن تكون نفسها لجميع أوامر الشراء",,,
"The field 'Stock Location' must be filled.","يجب ملء حقل 'موقع المخزون'.",,,
"The fiscal position must be the same for all purchase orders","يجب أن يكون الوضع المالي نفسه لجميع أوامر الشراء",,,
"The line cannot be null.","السطر لا يمكن أن يكون فارغًا.",,,
"The maximum order quantity of %s to the supplier is not respected. Unit price might be different than the supplier catalog one.","الحد الأقصى لكمية الطلب لـ %s للمورد لم يتم احترامه. قد يكون سعر الوحدة مختلفًا عن سعر كتالوج المورد.",,,
"The minimum order quantity of %s to the supplier is not respected. Unit price might be different than the supplier catalog one.","الحد الأدنى لكمية الطلب لـ %s للمورد لم يتم احترامه. قد يكون سعر الوحدة مختلفًا عن سعر كتالوج المورد.",,,
"The partner's language is different from the current language. Description and product name are in :","لغة الشريك مختلفة عن اللغة الحالية. الوصف واسم المنتج باللغة:",,,
"The supplier Partner is required and must be the same for all purchase orders","شريك المورد مطلوب ويجب أن يكون نفسه لجميع أوامر الشراء.",,,
"The supplier of the purchase order is different from the default supplier of the product.","المورد في أمر الشراء مختلف عن المورد الافتراضي للمنتج.",,,
"The trading name must be the same for all purchase orders","يجب أن يكون الاسم التجاري نفسه لجميع أوامر الشراء.",,,
"There is no sequence set for the purchase requests for the company %s","لم يتم تعيين تسلسل لطلبات الشراء للشركة %s.",,,
"This product is not available from the supplier.","هذا المنتج غير متوفر من المورد.",,,
"This supplier is blocked:","تم حظر هذا المورد:",,,
"Timetable","الجدول الزمني",,,
"Title","العنوان",,,
"Title Line","سطر العنوان",,,
"To Date","حتى تاريخ",,,
"Tools","الأدوات",,,
"Total A.T.I.","الإجمالي ATI",,,
"Total A.T.I. in company currency","الإجمالي ATI بعملة الشركة",,,
"Total Purchased Amount by month","إجمالي المبلغ المشتراة حسب الشهر",,,
"Total Purchased Qty by month","إجمالي الكمية المشتراة حسب الشهر",,,
"Total Tax","إجمالي الضريبة",,,
"Total W.T.","الإجمالي WT",,,
"Total W.T. in company currency","الإجمالي WT بعملة الشركة",,,
"Total tax","إجمالي الضرائب",,,
"Trading name","الاسم التجاري",,,
"Unit","الوحدة",,,
"Unit price","سعر الوحدة",,,
"Unit price A.T.I.","سعر الوحدة ATI",,,
"Unit price W.T.","سعر الوحدة WT",,,
"Unit price discounted","سعر الوحدة بعد الخصم",,,
"Units","الوحدات",,,
"Update lines with selected project","تحديث الأسطر بالمشروع المحدد",,,
"Validate","تحقق",,,
"Validated","تم التحقق",,,
"Validated by","تم التحقق بواسطة",,,
"Validation date","تاريخ التحقق",,,
"Validator","المُحقق",,,
"Version Number","رقم الإصدار",,,
"WT","WT",,,
"Warning, a completed order can't be changed anymore, do you want to continue?","تحذير، لا يمكن تعديل الطلب المكتمل بعد الآن، هل تريد المتابعة؟",,,
"You can not generate supplier requests if the order is not saved.","لا يمكنك إنشاء طلبات المورد إذا لم يتم حفظ الطلب.",,,
"You have to choose at least one purchase order","يجب عليك اختيار أمر شراء واحد على الأقل.",,,
"You have to choose at least one purchase quotation","يجب عليك اختيار عرض سعر واحد على الأقل.",,,
"You must configure Purchase module for the company %s","يجب عليك تكوين وحدة الشراء للشركة %s.",,,
"You need a purchase order associated to line.","تحتاج إلى أمر شراء مرتبط بالسطر.",,,
"value:Purchase","القيمة: الشراء",,,
"value:Purchase Request","القيمة: طلب الشراء",,,
