"key","message","comment","context"
"Confirm cancellation","تأكيد الإلغاء",,,
"Confirm forecasts","تأكيد التوقعات",,,
"Consume in stock moves","استهلاك في تحركات المخزون",,,
"Consumed product","المنتج المستهلك",,,
"Consumed product waste","نفايات المنتج المستهلك",,,
"Consumed products","المنتجات المستهلكة",,,
"Consumed products on phases","المنتجات المستهلكة على المراحل",,,
"Consumed quantity","الكمية المستهلكة",,,
"Consumption","الاستهلاك",,,
"Consumption qty","كمية الاستهلاك",,,
"Content lines","خطوط المحتوى",,,
"Continuity by default","استمرارية بشكل افتراضي",,,
"Control on receipt","التحكم في الإيصال",,,
"Cost","التكلفة",,,
"Cost (W.T.)","التكلفة (W.T.)",,,
"Cost Price","سعر التكلفة",,,
"Cost calculations","حسابات التكلفة",,,
"Cost per process line","التكلفة لكل خط عملية",,,
"Cost price","سعر التكلفة",,,
"Cost price calculation","حساب سعر التكلفة",,,
"Cost sheet","ورقة التكلفة",,,
"Cost sheet - %s","ورقة التكلفة - %s",,,
"Cost sheet group","مجموعة ورقة التكلفة",,,
"Cost sheet group for product","مجموعة ورقة التكلفة للمنتج",,,
"Cost sheet group for work center","مجموعة ورقة التكلفة لمركز العمل",,,
"Cost sheet groups","مجموعات ورقة التكلفة",,,
"Cost sheet line","خط ورقة التكلفة",,,
"Cost sheet line detail","تفاصيل خط ورقة التكلفة",,,
"Cost sheet lines","خطوط ورقة التكلفة",,,
"Cost sheet valuation","تقييم ورقة التكلفة",,,
"Cost sheets","أوراق التكلفة",,,
"Cost sheets tree","شجرة أوراق التكلفة",,,
"Cost to apply","التكلفة للتطبيق",,,
"Cost type","نوع التكلفة",,,
"CostSheet","ورقة التكلفة",,,
"CostSheet.ManufOrderNumber","رقم أمر التصنيع",,,
"CostSheet.billOfMaterial","فاتورة المواد",,,
"CostSheet.calculationDate","تاريخ الحساب",,,
"CostSheet.calculationType","نوع الحساب",,,
"CostSheet.calculationTypeBillOfMaterial","فاتورة المواد",,,
"CostSheet.calculationTypeEndOfProduction","نهاية الإنتاج",,,
"CostSheet.calculationTypePartialEndOfProduction","نهاية جزئية للإنتاج",,,
"CostSheet.calculationTypeWorkInProgress","العمل قيد التنفيذ",,,
"CostSheet.company","الشركة",,,
"CostSheet.costPrice","سعر التكلفة",,,
"CostSheet.costSheetLineBomLevel","مستوى BOM لخط ورقة التكلفة",,,
"CostSheet.costSheetLineCode","الرمز",,,
"CostSheet.costSheetLineConsumptionQty","كمية الاستهلاك لخط ورقة التكلفة",,,
"CostSheet.costSheetLineCostSheetGroup","مجموعة ورقة التكلفة لخط ورقة التكلفة",,,
"CostSheet.costSheetLineName","الاسم",,,
"CostSheet.costSheetLineUnit","الوحدة",,,
"CostSheet.costSheetLines","تفاصيل خطوط ورقة التكلفة",,,
"CostSheet.createdBy","تم إنشاؤه بواسطة",,,
"CostSheet.createdOn","تم إنشاؤه في",,,
"CostSheet.currency","العملة",,,
"CostSheet.dateOfEdition","تاريخ الإصدار",,,
"CostSheet.legend","الأسطورة",,,
"CostSheet.lineType","النوع",,,
"CostSheet.lineTypeConsumeProduct","المنتج المستهلك",,,
"CostSheet.lineTypeConsumeProductWaste","نفايات المنتج المستهلك",,,
"CostSheet.lineTypeHuman","إنسان",,,
"CostSheet.lineTypeIndirectCost","تكلفة غير مباشرة",,,
"CostSheet.lineTypeProduceProduct","إنتاج المنتج",,,
"CostSheet.lineTypeWorkCenter","مركز العمل",,,
"CostSheet.manufOrder","أمر التصنيع",,,
"CostSheet.title","ورقة التكلفة",,,
"Cost_to_apply","التكلفة للتطبيق",,,
"Costing settings","إعدادات التكلفة",,,
"Costs computed","التكاليف المحسوبة",,,
"Costs updated","التكاليف المحدثة",,,
"Could not find main bill of materials generated (BoM level 0).","لم يتم العثور على فاتورة المواد الرئيسية الناتجة (مستوى BoM 0).",,,
"Create a bill of material","إنشاء فاتورة مواد",,,
"Create a production process","إنشاء عملية إنتاج",,,
"Create production order","إنشاء أمر إنتاج",,,
"Created by","تم إنشاؤه بواسطة",,,
"Created from bom import","تم إنشاؤه من استيراد BOM",,,
"Created on","تم إنشاؤه في",,,
"Created product","المنتج الذي تم إنشاؤه",,,
"Created products","المنتجات التي تم إنشاؤها",,,
"Currency","العملة",,,
"Customer","العميل",,,
"Customize BOM","تخصيص فاتورة المواد",,,
"Customize production process","تخصيص عملية الإنتاج",,,
"Cycle unit","وحدة الدورة",,,
"Dashboard","لوحة التحكم",,,
"Data import failed","فشل استيراد البيانات",,,
"Date of calculation","تاريخ الحساب",,,
"Dates","التواريخ",,,
"Deallocate","إلغاء التخصيص",,,
"Deallocate all","إلغاء تخصيص الكل",,,
"Declare delivery to outsource partner","إعلان التسليم لشريك خارجي",,,
"Default BOM","فاتورة المواد الافتراضية",,,
"Default Bill of materials","فاتورة المواد الافتراضية",,,
"Default sequence","التسلسل الافتراضي",,,
"Default work center product","المنتج الافتراضي لمركز العمل",,,
"Define as default BOM of product","تعريف كفاتورة المواد الافتراضية للمنتج",,,
"Define sub bill of material","تعريف فاتورة المواد الفرعية",,,
"Define sub bill of materials","تعريف فواتير المواد الفرعية",,,
"Define with a configurator","تعريف باستخدام مكون",,,
"Define with a script","تعريف باستخدام نص",,,
"Description","الوصف",,,
"Descriptions","الأوصاف",,,
"Details","التفاصيل",,,
"Diff","فرق",,,
"Diff consume manuf order","فرق استهلاك أمر التصنيع",,,
"Diff consume operation order","فرق استهلاك أمر التشغيل",,,
"Difference","الفرق",,,
"Differences","الاختلافات",,,
"Direct Manufacturing","التصنيع المباشر",,,
"Direct Material","المادة المباشرة",,,
"Display products tree","عرض شجرة المنتجات",,,
"Disposal date","تاريخ التخلص",,,
"Do you really wish to create a new version of this bill of materials ?","هل ترغب حقًا في إنشاء إصدار جديد من فاتورة المواد هذه؟",,,
"Do you really wish to create a new version of this production process ?","هل ترغب حقًا في إنشاء إصدار جديد من عملية الإنتاج هذه؟",,,
"Documents","المستندات",,,
"Draft","مسودة",,,
"Draft MOs","أوامر التصنيع المسودة",,,
"Draft Operations","العمليات المسودة",,,
"Draft orders","أوامر المسودة",,,
"Duration (days)","المدة (أيام)",,,
"Duration (hours)","المدة (ساعات)",,,
"Duration / cycle (hhh:mm:ss)","المدة / الدورة (hhh:mm:ss)",,,
"Duration / cycle (in hours)","المدة / الدورة (بالساعات)",,,
"Duration between two cycles (hhh:mm:ss)","المدة بين دورتين (hhh:mm:ss)",,,
"Duration on MOs","المدة على أوامر التصنيع",,,
"Employee scheduling","جدولة الموظفين",,,
"Enable Tool Management","تمكين إدارة الأدوات",,,
"Enable production configurator","تمكين مكون الإنتاج",,,
"Enable the process for other products","تمكين العملية للمنتجات الأخرى",,,
"End Month","نهاية الشهر",,,
"End date","تاريخ الانتهاء",,,
"End month should be after Start Month","يجب أن يكون شهر الانتهاء بعد شهر البدء",,,
"End of production","نهاية الإنتاج",,,
"Ending duration (hhh:mm:ss)","المدة النهائية (hhh:mm:ss)",,,
"Ending duration of the machine.","المدة النهائية للآلة.",,,
"Error : You must configure a raw material requirement reporting sequence for the company %s","خطأ: يجب عليك تكوين تسلسل تقارير متطلبات المواد الخام للشركة %s",,,
"Error during production's order's creation","خطأ أثناء إنشاء أمر الإنتاج",,,
"Error that happened during the computation","خطأ حدث أثناء الحساب",,,
"Error while generating bill of material: the product of the bill of material is supposed to be computed from a script but the script did not return a product.","خطأ أثناء إنشاء فاتورة المواد: من المفترض أن يتم حساب المنتج من فاتورة المواد من نص ولكن النص لم يعد منتجًا.",,,
"Error while generating bill of material: the product of the bill of material is supposed to be filled in the configurator BOM but it was empty.","خطأ أثناء إنشاء فاتورة المواد: من المفترض أن يتم ملء المنتج في فاتورة المواد المكونة ولكنها كانت فارغة.",,,
"Error while generating bill of material: the product of the bill of material is supposed to be generated from the configurator but the configurator did not generate a product.","خطأ أثناء إنشاء فاتورة المواد: من المفترض أن يتم إنشاء المنتج من المكون ولكن المكون لم يولد منتجًا.",,,
"Expected/Future Quantity","الكمية المتوقعة/المستقبلية",,,
"Export","تصدير",,,
"Fetch limit","حد الاسترداد",,,
"Fetch limit for this batch. 0 will not be taken into account. In this case, the value configured in app Base will be used.","حد الاسترداد لهذه الدفعة. 0 لن يؤخذ في الاعتبار. في هذه الحالة، سيتم استخدام القيمة المكونة في التطبيق الأساسي.",,,
"Fill SOP real values","ملء القيم الحقيقية لـ SOP",,,
"Filters","المرشحات",,,
"Finish","إنهاء",,,
"Finished","مكتمل",,,
"Finished MOs","أوامر التصنيع المكتملة",,,
"Finished Operations","العمليات المكتملة",,,
"Finished products","المنتجات المكتملة",,,
"Finished products default stock location","الموقع الافتراضي للمخزون للمنتجات المكتملة",,,
"Finite","منتهي",,,
"Forecast","التوقعات",,,
"Forecast date","تاريخ التوقع",,,
"Forecast on historic","التوقعات على التاريخ",,,
"Forecasts","التوقعات",,,
"Friday hours","ساعات الجمعة",,,
"From","من",,,
"From Date","من التاريخ",,,
"General BoM","فاتورة المواد العامة",,,
"General production processes","عمليات الإنتاج العامة",,,
"Generate MO.","إنشاء أمر تصنيع.",,,
"Generate MPS forecasts","إنشاء توقعات MPS",,,
"Generate Sales and Operations Planning Lines","إنشاء خطوط تخطيط المبيعات والعمليات",,,
"Generate a purchase order on MO planning","إنشاء أمر شراء على تخطيط أمر التصنيع",,,
"Generate new version","إنشاء إصدار جديد",,,
"Generate periods","إنشاء فترات",,,
"Generate production configurations","إنشاء تكوينات الإنتاج",,,
"Generate production orders automatically","إنشاء أوامر الإنتاج تلقائيًا",,,
"Generate proposals","إنشاء مقترحات",,,
"Generate waste stock move","إنشاء حركة مخزون النفايات",,,
"Growth Coefficient","معامل النمو",,,
"HR Cost Settings","إعدادات تكلفة الموارد البشرية",,,
"HR Duration Per Cycle (hhh:mm:ss)","مدة الموارد البشرية لكل دورة (hhh:mm:ss)",,,
"High","مرتفع",,,
"Historic period","الفترة التاريخية",,,
"Hours of use","ساعات الاستخدام",,,
"Human","إنسان",,,
"Human Duration (hh:mm:ss)","مدة الإنسان (hh:mm:ss)",,,
"Human Duration (in hours)","مدة الإنسان (بالساعات)",,,
"Human Resources","الموارد البشرية",,,
"Human and Machine","إنسان وآلة",,,
"Human resources","الموارد البشرية",,,
"Human times","أوقات الإنسان",,,
"Hundredth of an hour input","إدخال مئة من الساعة",,,
"If true, the components will be automatically requested for reservation on planning manufacturing orders.","إذا كان صحيحًا، سيتم طلب المكونات تلقائيًا للحجز على تخطيط أوامر التصنيع.",,,
"Image","صورة",,,
"Import","استيراد",,,
"Import CSV","استيراد CSV",,,
"Import source","مصدر الاستيراد",,,
"Imported","مستورد",,,
"Imported bill of material tree","شجرة فاتورة المواد المستوردة",,,
"Impossible to generate outsourcing purchase order. Please fill unit on your product.","من المستحيل إنشاء أمر شراء خارجي. يرجى ملء الوحدة على منتجك.",,,
"In manuf order","في أمر التصنيع",,,
"In operation order","في أمر التشغيل",,,
"In progress","قيد التقدم",,,
"Indirect","غير مباشر",,,
"Indirect cost","تكلفة غير مباشرة",,,
"Infinite","غير محدود",,,
"Information","معلومات",,,
"Inheritate the finished products from the MO to the deliveries","وراثة المنتجات النهائية من أمر التصنيع إلى التسليمات",,,
"Input file","ملف الإدخال",,,
"Invalid date","تاريخ غير صالح",,,
"Invalid scheduling and capacity configuration.","تكوين الجدولة والسعة غير صالح.",,,
"Is closed","مغلق",,,
"Is generated","تم إنشاؤه",,,
"Is to produce","يجب إنتاجه",,,
"Is with difference","به فرق",,,
"Is workshop","ورشة عمل",,,
"It will remove subcontractor tag from all partners. This change is irreversible","سيتم إزالة علامة المقاول الفرعي من جميع الشركاء. هذا التغيير لا يمكن التراجع عنه",,,
"Label","التسمية",,,
"Last overhaul date","تاريخ الصيانة الأخير",,,
"Last production price","آخر سعر إنتاج",,,
"Late Planned MOs","أوامر التصنيع المخطط لها متأخرة",,,
"Late Planned Operations","العمليات المخطط لها متأخرة",,,
"Launch quantity","كمية الإطلاق",,,
"Lead time","الوقت القيادي",,,
"Level","المستوى",,,
"List of Wastes Per Product","قائمة النفايات لكل منتج",,,
"Low","منخفض",,,
"MO","أمر تصنيع",,,
"MO's comment from sale order","تعليق أمر التصنيع من أمر البيع",,,
"MO's comment from sale order line","تعليق أمر التصنيع من خط أمر البيع",,,
"MO's valuation method","طريقة تقييم أمر التصنيع",,,
"MOs Finished late","أوامر التصنيع المكتملة متأخرة",,,
"MOs In Progress","أوامر التصنيع قيد التقدم",,,
"MOs In Standby","أوامر التصنيع في الانتظار",,,
"MOs to invoice","أوامر التصنيع للفوترة",,,
"MPS","MPS",,,
"MPS Charge","رسوم MPS",,,
"MPS Weekly schedules","جداول MPS الأسبوعية",,,
"MPS number","رقم MPS",,,
"MRP","MRP",,,
"MRP Type","نوع MRP",,,
"MRP Types","أنواع MRP",,,
"Machine","آلة",,,
"Machine Information","معلومات الآلة",,,
"Machine Planning","تخطيط الآلة",,,
"Machine Type","نوع الآلة",,,
"Machine Types","أنواع الآلات",,,
"Machine charge","رسوم الآلة",,,
"Machine settings","إعدادات الآلة",,,
"Machine times","أوقات الآلة",,,
"Machine's planning","تخطيط الآلة",,,
"Machine.planningMachineBtn","تخطيط الآلة",,,
"Machines","آلات",,,
"Main bill of materials generated","تم إنشاء فاتورة المواد الرئيسية",,,
"Main configurations","التكوينات الرئيسية",,,
"Maintenance cost","تكلفة الصيانة",,,
"Make it applicable","اجعلها قابلة للتطبيق",,,
"Make it obsolete","اجعلها غير قابلة للتطبيق",,,
"Manage Master Production Scheduling Charge","إدارة رسوم جدولة الإنتاج الرئيسية",,,
"Manage bill of materials versions","إدارة إصدارات فواتير المواد",,,
"Manage business production","إدارة الإنتاج التجاري",,,
"Manage consumed products on operations","إدارة المنتجات المستهلكة في العمليات",,,
"Manage consumed products on phases","إدارة المنتجات المستهلكة في المراحل",,,
"Manage cost sheet group","إدارة مجموعة ورقة التكلفة",,,
"Manage outsourcing","إدارة التعاقد من الباطن",,,
"Manage production process versions","إدارة إصدارات عملية الإنتاج",,,
"Manage residual products on BOM","إدارة المنتجات المتبقية في فاتورة المواد",,,
"Manage work center group","إدارة مجموعة مركز العمل",,,
"Manage workshop","إدارة ورشة العمل",,,
"Manual mo seq","تسلسل أمر التصنيع اليدوي",,,
"Manuf order list","قائمة أوامر التصنيع",,,
"Manuf. date","تاريخ التصنيع",,,
"Manuf. reference","مرجع التصنيع",,,
"ManufOrder","أمر التصنيع",,,
"ManufOrder.billOfMaterial","فاتورة المواد",,,
"ManufOrder.company","الشركة",,,
"ManufOrder.costPrice","سعر التكلفة",,,
"ManufOrder.editionDate","تاريخ الإصدار",,,
"ManufOrder.effective","ساري",,,
"ManufOrder.endDate","تاريخ الانتهاء",,,
"ManufOrder.forecast","التوقع",,,
"ManufOrder.from","من",,,
"ManufOrder.inProgress","قيد التقدم",,,
"ManufOrder.machine","آلة",,,
"ManufOrder.moCommentFromSaleOrder","تعليق أمر التصنيع من أمر البيع",,,
"ManufOrder.noLocation","لا توجد ورشة عمل",,,
"ManufOrder.num","رقم",,,
"ManufOrder.operation","عملية",,,
"ManufOrder.operationDetails","تفاصيل العمليات",,,
"ManufOrder.operations","ملخص العمليات",,,
"ManufOrder.origin","الأصل",,,
"ManufOrder.plannedEndDate","تاريخ الانتهاء المخطط",,,
"ManufOrder.plannedStartDate","تاريخ البدء المخطط",,,
"ManufOrder.product","المنتج",,,
"ManufOrder.productBarcode","الرمز الشريطي للمنتج",,,
"ManufOrder.productCode","رمز المنتج",,,
"ManufOrder.productName","اسم المنتج",,,
"ManufOrder.productionProcess","عملية الإنتاج",,,
"ManufOrder.productsToPrepare","المنتجات التي يجب إعدادها (استهلاك)",,,
"ManufOrder.quantity","الكمية",,,
"ManufOrder.rack","الرف",,,
"ManufOrder.seq","رقم أمر التصنيع",,,
"ManufOrder.serial","آلة (رقم السيريال)",,,
"ManufOrder.standBy","في الانتظار",,,
"ManufOrder.startDate","تاريخ البدء",,,
"ManufOrder.status","الحالة",,,
"ManufOrder.stockLocation","موقع المخزون",,,
"ManufOrder.title","أمر التصنيع",,,
"ManufOrder.to","إلى",,,
"ManufOrder.total","الإجمالي",,,
"ManufOrder.trackingNumber","رقم التتبع",,,
"ManufOrder.workCenter","مركز العمل",,,
"Manufacturer","المصنع",,,
"Manufacturing","التصنيع",,,
"Manufacturing Dashboard","لوحة تحكم التصنيع",,,
"Manufacturing Operation","عملية التصنيع",,,
"Manufacturing Operation Duration","مدة عملية التصنيع",,,
"Manufacturing Operation Durations","مدد عمليات التصنيع",,,
"Manufacturing Order","أمر التصنيع",,,
"Manufacturing Order (StockMove In)","أمر التصنيع (تحرك المخزون الداخل)",,,
"Manufacturing Order (StockMove Out)","أمر التصنيع (تحرك المخزون الخارج)",,,
"Manufacturing operation","عملية التصنيع",,,
"Manufacturing operation status successfully updated.","تم تحديث حالة عملية التصنيع بنجاح.",,,
"Manufacturing operations","عمليات التصنيع",,,
"Manufacturing operations maximum priority","أقصى أولوية لعمليات التصنيع",,,
"Manufacturing order","أمر التصنيع",,,
"Manufacturing order filters","مرشحات أوامر التصنيع",,,
"Manufacturing order merge result","نتيجة دمج أمر التصنيع",,,
"Manufacturing order sequence","تسلسل أمر التصنيع",,,
"Manufacturing order successfully updated.","تم تحديث أمر التصنيع بنجاح.",,,
"Manufacturing orders","أوامر التصنيع",,,
"Manufacturing orders on StandBy","أوامر التصنيع في الانتظار",,,
"Manufacturing period","فترة التصنيع",,,
"Manufacturing periods","فترات التصنيع",,,
"Manufacturing proposal","اقتراح التصنيع",,,
"Mark","علامة",,,
"Master Production Scheduling Charge","رسوم جدولة الإنتاج الرئيسية",,,
"Max depth reached when copying BOM.","تم الوصول إلى الحد الأقصى من العمق عند نسخ فاتورة المواد.",,,
"Max loop call reached when trying to compute end date.","تم الوصول إلى الحد الأقصى من استدعاءات الحلقة عند محاولة حساب تاريخ الانتهاء.",,,
"Max loop call reached when trying to compute start date.","تم الوصول إلى الحد الأقصى من استدعاءات الحلقة عند محاولة حساب تاريخ البدء.",,,
"Max. capacity / cycle","الحد الأقصى. السعة / الدورة",,,
"Maximum level","أقصى مستوى",,,
"Merge","دمج",,,
"Merged","تم الدمج",,,
"Merged MO","أمر تصنيع مدمج",,,
"Merged manuf orders","أوامر تصنيع مدمجة",,,
"Message template","قالب الرسالة",,,
"Min. capacity / cycle","الحد الأدنى. السعة / الدورة",,,
"Missing quantity","الكمية المفقودة",,,
"Monday hours","ساعات الاثنين",,,
"Move types","أنواع الحركة",,,
"Moves In/Out","الحركات الداخلة/الخارجة",,,
"Mps Charge","رسوم MPS",,,
"MpsCharge.code","الرمز",,,
